"Test", "Nodes", "Edges", "Algorithm", "UsingTimeWindow", "MaxV", "MaxE", "Time", "Patterns", "MaxPattern", "ExecutionTime"
"smarttech", 1019, 1232, 1, 1, 10, 15, 1000, 1, "0110", 126
"smarttech", 1019, 1232, 1, 1, 10, 15, 5000, 1, "0110", 125
"smarttech", 1019, 1232, 1, 1, 10, 15, 10000, 1, "0110", 128
"smarttech", 1019, 1232, 1, 1, 10, 15, 30000, 1, "0110", 131
"smarttech", 1019, 1232, 1, 1, 10, 15, 60000, 2, "0112", 132
"smarttech", 1019, 1232, 1, 1, 10, 15, 120000, 3, "0112", 130
"smarttech", 1019, 1232, 1, 1, 10, 15, 300000, 3, "0112", 135
"smarttech", 1019, 1232, 1, 1, 10, 15, 600000, 3, "0112", 132
"smarttech", 1019, 1232, 1, 1, 10, 15, 1200000, 3, "0112", 133
"smarttech", 1019, 1232, 1, 1, 10, 15, 2400000, 4, "0112", 132
"smarttech", 1019, 1232, 1, 1, 10, 15, 3600000, 4, "0112", 141
"smartdevices", 2581, 3278, 1, 1, 10, 15,1000, 2, "0112", 1101
"smartdevices", 2581, 3278, 1, 1, 10, 15,5000, 3, "0112", 1100
"smartdevices", 2581, 3278, 1, 1, 10, 15,10000, 3, "0112", 1055
"smartdevices", 2581, 3278, 1, 1, 10, 15,30000, 4, "0112", 1144
"smartdevices", 2581, 3278, 1, 1, 10, 15,60000, 4, "0112", 1152
"smartdevices", 2581, 3278, 1, 1, 10, 15,120000, 4, "0112", 1139
"smartdevices", 2581, 3278, 1, 1, 10, 15,300000, 4, "0112", 1160
"smartdevices", 2581, 3278, 1, 1, 10, 15,600000, 4, "0112", 1189
"smartdevices", 2581, 3278, 1, 1, 10, 15,1200000, 4, "0112", 1229
"smartdevices", 2581, 3278, 1, 1, 10, 15,2400000, 4, "0112", 1317
"smartdevices", 2581, 3278, 1, 1, 10, 15,3600000, 5, "0112", 1449
"hardware", 2581, 3278, 1, 1, 10, 15, 1000, 5, "0112", 5135
"hardware", 2581, 3278, 1, 1, 10, 15, 5000, 6, "0112", 5429
"hardware", 2581, 3278, 1, 1, 10, 15, 10000, 7, "0112", 5688
"hardware", 2581, 3278, 1, 1, 10, 15, 30000, 16, "0112", 6688
"hardware", 2581, 3278, 1, 1, 10, 15, 60000, 21, "0112", 8864
"hardware", 2581, 3278, 1, 1, 10, 15, 120000, 36, "011001100110", 42993
"hardware", 2581, 3278, 1, 1, 10, 15, 300000, 59, "011001100110011002", 5618541
"hardware", 2581, 3278, 1, 1, 10, 15, 600000, 63, "0110011001100110011002", 38729541
"hardware", 2581, 3278, 1, 1, 10, 15, 1200000, 69, "0110011001100110011002", 39042219
"hardware", 2581, 3278, 1, 1, 10, 15, 2400000, 0, "NA", 39042219
"hardware", 2581, 3278, 1, 1, 10, 15, 3600000, 0, "NA", 39042219
"smartmobility", 3877, 6344, 1, 1, 10, 15, 1000, 2, "0112", 2036
"smartmobility", 3877, 6344, 1, 1, 10, 15, 5000, 2, "0112", 2050
"smartmobility", 3877, 6344, 1, 1, 10, 15, 10000, 2, "0112", 2019
"smartmobility", 3877, 6344, 1, 1, 10, 15, 30000, 2, "0112", 2017
"smartmobility", 3877, 6344, 1, 1, 10, 15, 60000, 2, "0112", 1970
"smartmobility", 3877, 6344, 1, 1, 10, 15, 120000, 2, "0112", 1951
"smartmobility", 3877, 6344, 1, 1, 10, 15, 300000, 2, "0112", 2011
"smartmobility", 3877, 6344, 1, 1, 10, 15, 600000, 3, "0112", 2033
"smartmobility", 3877, 6344, 1, 1, 10, 15, 1200000, 3, "0112", 1995
"smartmobility", 3877, 6344, 1, 1, 10, 15, 2400000, 3, "0112", 2064
"smartmobility", 3877, 6344, 1, 1, 10, 15, 3600000, 3, "0112", 2110
"devices", 4976, 6558, 1, 1, 10, 15, 1000, 2, "0112", 4183
"devices", 4976, 6558, 1, 1, 10, 15, 5000, 3, "0112", 4049
"devices", 4976, 6558, 1, 1, 10, 15, 10000, 3, "0112", 4128
"devices", 4976, 6558, 1, 1, 10, 15, 30000, 5, "0112", 4328
"devices", 4976, 6558, 1, 1, 10, 15, 60000, 10, "0112", 4925
"devices", 4976, 6558, 1, 1, 10, 15, 120000, 24, "0112", 6181
"devices", 4976, 6558, 1, 1, 10, 15, 300000, 28, "0112", 9595
"devices", 4976, 6558, 1, 1, 10, 15, 600000, 43, "0112", 16571
"devices", 4976, 6558, 1, 1, 10, 15, 1200000, 57, "0112", 57478
"devices", 4976, 6558, 1, 1, 10, 15, 2400000, 58, "01100110011001", 189731
"devices", 4976, 6558, 1, 1, 10, 15, 3600000, 58, "01100110011001", 236300
"smartgrid", 4936, 6586, 1, 1, 10, 15, 1000, 2, "0112", 4967
"smartgrid", 4936, 6586, 1, 1, 10, 15, 5000, 2, "0112", 4923
"smartgrid", 4936, 6586, 1, 1, 10, 15, 10000, 2, "0112", 5171
"smartgrid", 4936, 6586, 1, 1, 10, 15, 30000, 5, "0112", 5044
"smartgrid", 4936, 6586, 1, 1, 10, 15, 60000, 5, "0112", 5058
"smartgrid", 4936, 6586, 1, 1, 10, 15, 120000, 5, "0112", 5137
"smartgrid", 4936, 6586, 1, 1, 10, 15, 300000, 9, "0112", 5450
"smartgrid", 4936, 6586, 1, 1, 10, 15, 600000, 9, "0112", 5780
"smartgrid", 4936, 6586, 1, 1, 10, 15, 1200000, 20, "0112", 6303
"smartgrid", 4936, 6586, 1, 1, 10, 15, 2400000, 32, "0112", 6721
"smartgrid", 4936, 6586, 1, 1, 10, 15, 3600000, 34, "0112", 7328
"smarthomes", 6525, 8282, 1, 1, 10, 15, 1000, 2, "0112", 11791
"smarthomes", 6525, 8282, 1, 1, 10, 15, 5000, 6, "0112", 12171
