Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
smartdevices, 2581, 3278, 1, 1, 10, 15, 1000, 756, 1593, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 5000, 677, 1593, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 10000, 689, 1593, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 30000, 693, 1593, 42, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 60000, 708, 1593, 57, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 120000, 753, 1593, 90, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 300000, 753, 1593, 224, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 600000, 793, 1593, 370, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 1200000, 796, 1593, 617, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 2400000, 873, 1593, 1072, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 3600000, 941, 1593, 1319, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1000, 2876, 3191, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 5000, 2369, 3191, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 10000, 2348, 3191, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 30000, 2445, 3191, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 60000, 2664, 3191, 308, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 120000, 3066, 3191, 417, 29, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 300000, 4234, 3191, 590, 109, 84, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 600000, 7586, 3191, 704, 221, 334, 375, 324, 198, 72, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 1, 10, 15, 1200000, 30743, 3191, 916, 566, 1147, 1815, 1962, 1854, 1152, 486, 162, 0, 0, 0, 0, 0, 0
