Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
devices, 4976, 6558, 1, 0, 10, 15, 1000, 7643, 3191, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 5000, 7138, 3191, 175, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 10000, 7354, 3191, 200, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 30000, 6330, 3191, 368, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 60000, 6661, 3191, 755, 102, 44, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 120000, 10225, 3191, 1083, 338, 221, 255, 81, 38, 28, 8, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 300000, 25423, 3191, 1473, 726, 744, 926, 678, 524, 270, 72, 0, 0, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 600000, 90732, 3191, 1606, 877, 1070, 1708, 1977, 2914, 2622, 2616, 1296, 396, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 900000, 238046, 3191, 1722, 1216, 2159, 5088, 5958, 10071, 6858, 6516, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1200000, 266867, 3191, 1844, 1529, 2694, 6709, 6882, 12150, 7398, 7200, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1500000, 307236, 3191, 2011, 1829, 3008, 7721, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 1800000, 331111, 3191, 2089, 1900, 3038, 7729, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2100000, 350132, 3191, 2130, 1915, 3038, 7729, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2400000, 318996, 3191, 2155, 1919, 3043, 7731, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 2700000, 355465, 3191, 2182, 1919, 3043, 7731, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3000000, 290638, 3191, 2210, 1919, 3043, 7731, 7494, 12978, 7722, 7308, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3300000, 349361, 3191, 2263, 1974, 3127, 8451, 7737, 14535, 7884, 8118, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3600000, 496827, 3191, 2333, 2143, 3328, 10113, 8250, 17784, 8208, 9738, 2592, 810, 0, 0, 0, 0, 0
devices, 4976, 6558, 1, 0, 10, 15, 3900000, 589928, 3191, 2380, 2281, 3397, 10572, 8304, 18054, 8208, 9738, 2592, 810, 0, 0, 0, 0, 0
