Test, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16
smartdevices, 1, 1, 10, 15, 1000, 1405, 1593, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 5000, 1277, 1593, 21, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 10000, 1276, 1593, 23, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 30000, 1313, 1593, 42, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 60000, 1315, 1593, 57, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 120000, 1362, 1593, 90, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 300000, 1420, 1593, 224, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 600000, 1462, 1593, 370, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 900000, 1511, 1593, 509, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 1200000, 1550, 1593, 617, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 1500000, 1576, 1593, 817, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 1800000, 1104, 1593, 897, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 2100000, 1397, 1593, 1009, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 2400000, 1746, 1593, 1072, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 1, 1, 10, 15, 2700000, 1521, 1593, 1142, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
