Test, Nodes, Edges, Algorithm, UsingTimeWindow, MaxV, MaxE, Time, ExecutionTime, P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P11
smartdevices, 2581, 3278, 1, 1, 10, 15, 1000, 748, 1596, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 5000, 747, 1597, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 10000, 751, 1598, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 30000, 785, 1601, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 60000, 794, 1602, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 120000, 806, 1602, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 300000, 825, 1602, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 600000, 842, 1602, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 900000, 873, 1602, 560, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 1200000, 889, 1602, 675, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 1500000, 923, 1602, 877, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 1800000, 946, 1602, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 2100000, 957, 1602, 1076, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 2400000, 974, 1602, 1139, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 2700000, 990, 1607, 1209, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 3000000, 1033, 1607, 1272, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 3300000, 1361, 1607, 1355, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 1, 10, 15, 3600000, 1110, 1607, 1416, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 1000, 768, 1596, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 5000, 763, 1597, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 10000, 764, 1598, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 30000, 800, 1601, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 60000, 800, 1602, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 120000, 809, 1602, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 300000, 827, 1602, 274, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 600000, 851, 1602, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 900000, 879, 1602, 560, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 1200000, 895, 1602, 675, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 1500000, 971, 1602, 877, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 1800000, 996, 1602, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 2100000, 969, 1602, 1076, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 2400000, 995, 1602, 1139, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 2700000, 997, 1607, 1209, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 3000000, 1030, 1607, 1273, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 3300000, 1028, 1607, 1355, 0, 0, 0, 0, 0, 0, 0, 0, 0
smartdevices, 2581, 3278, 1, 0, 10, 15, 3600000, 1074, 1607, 1417, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1000, 10073, 4090, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 5000, 12426, 4094, 106, 12, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 10000, 10795, 4094, 148, 12, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 30000, 12960, 4101, 364, 100, 15, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 60000, 13426, 4103, 689, 169, 41, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 120000, 19449, 4106, 992, 352, 76, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 300000, 24171, 4107, 1802, 839, 201, 12, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 600000, 32822, 4108, 2403, 1452, 714, 28, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 900000, 41873, 4116, 3126, 3026, 1791, 68, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1200000, 47363, 4116, 3805, 3247, 1951, 68, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1500000, 47636, 4116, 4513, 3833, 2115, 84, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 1800000, 55497, 4117, 5219, 4725, 2703, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2100000, 59856, 4117, 5268, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2400000, 60564, 4117, 5301, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 2700000, 61305, 4117, 5359, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3000000, 61197, 4117, 6088, 4795, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3300000, 51542, 4117, 6459, 4884, 2759, 100, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 1, 10, 15, 3600000, 56200, 4117, 6498, 5100, 3002, 108, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1000, 11063, 4090, 22, 1, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 5000, 11810, 4094, 106, 12, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 10000, 11434, 4094, 149, 15, 0, 0, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 30000, 17131, 4101, 374, 132, 37, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 60000, 15733, 4103, 689, 172, 42, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 120000, 23768, 4106, 1023, 529, 134, 4, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 300000, 31052, 4107, 1802, 1008, 402, 12, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 600000, 37093, 4112, 2582, 2442, 1496, 52, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 900000, 52202, 4117, 3356, 4098, 2655, 96, 0, 0, 0, 0, 0, 0
smarthomes, 6525, 8282, 1, 0, 10, 15, 1200000, 53733, 4117, 4001, 4098, 2655, 96, 0, 0, 0, 0, 0, 0
