Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily,(0102)01,(0102)10,(0102)12,01(0102),10(0102),12(0102)
smarthomes,6525,8282,3,1000,124134,5,2,147,11,2,16
smarthomes,6525,8282,3,5000,124134,28,8,299,33,7,82
smarthomes,6525,8282,3,10000,124134,37,8,381,42,7,112
smarthomes,6525,8282,3,30000,124134,52,17,612,51,13,211
smarthomes,6525,8282,3,60000,124134,112,19,799,113,14,242
smarthomes,6525,8282,3,120000,124134,153,25,1088,155,18,298
smarthomes,6525,8282,3,300000,124134,259,27,1163,229,20,339
smarthomes,6525,8282,3,600000,124134,376,29,1209,345,22,469
smarthomes,6525,8282,3,1200000,124134,527,32,1282,493,25,573
smarthomes,6525,8282,3,2400000,124134,620,32,1317,567,25,592
smarthomes,6525,8282,3,3600000,124134,728,32,1397,727,25,650
smartdevices,2581,3278,3,1000,124134,7,3,81,3,1,7
smartdevices,2581,3278,3,5000,124134,13,5,118,6,3,11
smartdevices,2581,3278,3,10000,124134,13,6,135,6,3,17
smartdevices,2581,3278,3,30000,124134,22,8,475,12,3,51
smartdevices,2581,3278,3,60000,124134,38,9,714,24,3,57
smartdevices,2581,3278,3,120000,124134,60,9,900,42,3,63
smartdevices,2581,3278,3,300000,124134,74,9,927,58,3,63
smartdevices,2581,3278,3,600000,124134,94,9,929,82,3,66
smartdevices,2581,3278,3,1200000,124134,138,9,930,134,3,66
smartdevices,2581,3278,3,2400000,124134,184,9,932,205,3,70
smartdevices,2581,3278,3,3600000,124134,223,10,932,240,4,71
itsecurity,8671,13652,3,1000,124134,46,2,294,48,2,9
itsecurity,8671,13652,3,5000,124134,212,5,444,189,5,43
itsecurity,8671,13652,3,10000,124134,267,5,488,238,5,56
itsecurity,8671,13652,3,30000,124134,443,6,532,380,5,121
itsecurity,8671,13652,3,60000,124134,664,6,624,624,5,150
itsecurity,8671,13652,3,120000,124134,1178,29,756,1006,26,221
itsecurity,8671,13652,3,300000,124134,1981,38,967,1769,34,350
itsecurity,8671,13652,3,600000,124134,2613,38,1011,2473,34,434
itsecurity,8671,13652,3,1200000,124134,4266,51,1316,4197,46,873
itsecurity,8671,13652,3,2400000,124134,5857,51,1481,6308,46,1040
itsecurity,8671,13652,3,3600000,124134,6662,51,1570,7034,46,1082
devices,4976,6558,3,1000,124134,63,3,155,59,2,12
devices,4976,6558,3,5000,124134,125,6,235,122,4,41
devices,4976,6558,3,10000,124134,128,8,339,123,4,58
devices,4976,6558,3,30000,124134,471,10,535,467,5,198
devices,4976,6558,3,60000,124134,725,12,726,722,9,499
devices,4976,6558,3,120000,124134,1163,17,927,1154,16,635
devices,4976,6558,3,300000,124134,1693,24,1185,1681,22,834
devices,4976,6558,3,600000,124134,1830,24,1200,1808,22,837
devices,4976,6558,3,1200000,124134,1912,25,1222,1883,22,858
devices,4976,6558,3,2400000,124134,1923,25,1232,1893,22,866
devices,4976,6558,3,3600000,124134,1945,25,1245,1908,22,870
datamining,7453,10748,3,1000,124134,43,4,183,42,4,29
datamining,7453,10748,3,5000,124134,155,5,366,140,6,111
datamining,7453,10748,3,10000,124134,223,5,457,201,6,172
datamining,7453,10748,3,30000,124134,323,5,650,295,6,232
datamining,7453,10748,3,60000,124134,792,5,866,764,6,354
datamining,7453,10748,3,120000,124134,1647,5,1183,1623,6,504
datamining,7453,10748,3,300000,124134,2701,11,1623,2685,12,664
datamining,7453,10748,3,600000,124134,3467,11,1750,3418,12,753
datamining,7453,10748,3,1200000,124134,4663,11,1863,4585,12,855
datamining,7453,10748,3,2400000,124134,7312,11,2052,7086,12,1077
datamining,7453,10748,3,3600000,124134,10350,11,2890,9685,12,1527
