"Test", "Nodes", "Edges", "Algorithm", "UsingTimeWindow", "Time", "ExecutionTime"
smartdevices, 2581, 3278, 3, 1, 1000, 485
smartdevices, 2581, 3278, 3, 1, 5000, 401
smartdevices, 2581, 3278, 3, 1, 10000, 378
smartdevices, 2581, 3278, 3, 1, 30000, 375
smartdevices, 2581, 3278, 3, 1, 60000, 354
smartdevices, 2581, 3278, 3, 1, 120000, 349
smartdevices, 2581, 3278, 3, 1, 300000, 328
smartdevices, 2581, 3278, 3, 1, 600000, 328
smartdevices, 2581, 3278, 3, 1, 1200000, 320
smartdevices, 2581, 3278, 3, 1, 2400000, 324
smartdevices, 2581, 3278, 3, 1, 3600000, 321
devices, 4976, 6558, 3, 1, 1000, 3286
devices, 4976, 6558, 3, 1, 5000, 3087
devices, 4976, 6558, 3, 1, 10000, 3312
devices, 4976, 6558, 3, 1, 30000, 3462
devices, 4976, 6558, 3, 1, 60000, 3306
devices, 4976, 6558, 3, 1, 120000, 3374
devices, 4976, 6558, 3, 1, 300000, 3333
devices, 4976, 6558, 3, 1, 600000, 2941
devices, 4976, 6558, 3, 1, 1200000, 2340
devices, 4976, 6558, 3, 1, 2400000, 1977
devices, 4976, 6558, 3, 1, 3600000, 1892
datamining, 7453, 10748, 3, 1, 1000, 22802
datamining, 7453, 10748, 3, 1, 5000, 18159
datamining, 7453, 10748, 3, 1, 10000, 19380
datamining, 7453, 10748, 3, 1, 30000, 18457
datamining, 7453, 10748, 3, 1, 60000, 16976
datamining, 7453, 10748, 3, 1, 120000, 15600
datamining, 7453, 10748, 3, 1, 300000, 15154
datamining, 7453, 10748, 3, 1, 600000, 14636
datamining, 7453, 10748, 3, 1, 1200000, 13446
datamining, 7453, 10748, 3, 1, 2400000, 13187
datamining, 7453, 10748, 3, 1, 3600000, 13236
itsecurity, 8671, 13652, 3, 1, 1000, 144768
itsecurity, 8671, 13652, 3, 1, 5000, 95556
itsecurity, 8671, 13652, 3, 1, 10000, 85254
itsecurity, 8671, 13652, 3, 1, 30000, 81244
itsecurity, 8671, 13652, 3, 1, 60000, 73278
itsecurity, 8671, 13652, 3, 1, 120000, 71370
itsecurity, 8671, 13652, 3, 1, 300000, 70196
itsecurity, 8671, 13652, 3, 1, 600000, 69955
itsecurity, 8671, 13652, 3, 1, 1200000, 68829
itsecurity, 8671, 13652, 3, 1, 2400000, 63405
itsecurity, 8671, 13652, 3, 1, 3600000, 59173
