Test, Nodes, Edges, Algorithm, TimeWindow, PatternFamily, PatternGroup,123,213,133,313,233,323
smarthomes,6525,8282,3,1000,121122,3,0,0,7,0,0,78
smarthomes,6525,8282,3,5000,121122,3,0,0,12,0,0,99
smarthomes,6525,8282,3,10000,121122,3,0,0,15,0,0,132
smarthomes,6525,8282,3,30000,121122,3,1,1,19,29,2,1071
smarthomes,6525,8282,3,60000,121122,3,50,1,52,51,20,2812
smarthomes,6525,8282,3,120000,121122,3,124,1,106,63,51,8887
smarthomes,6525,8282,3,300000,121122,3,407,1,242,166,125,25974
smarthomes,6525,8282,3,600000,121122,3,1012,1,464,350,159,36988
smarthomes,6525,8282,3,1200000,121122,3,1508,2,1132,768,448,53042
smarthomes,6525,8282,3,2400000,121122,3,1618,2,2090,2761,602,59675
smarthomes,6525,8282,3,3600000,121122,3,1881,2,3483,3221,912,107037
smarthomes,6525,8282,3,1000,121212,4,0,0,0,0,1,0
smarthomes,6525,8282,3,5000,121212,4,1,0,0,12,3,12
smarthomes,6525,8282,3,10000,121212,4,1,0,0,13,3,12
smarthomes,6525,8282,3,30000,121212,4,2,1,1,41,4,36
smarthomes,6525,8282,3,60000,121212,4,2,1,1,63,6,42
smarthomes,6525,8282,3,120000,121212,4,2,1,7,71,10,44
smarthomes,6525,8282,3,300000,121212,4,2,2,12,205,12,116
smarthomes,6525,8282,3,600000,121212,4,2,2,16,386,13,122
smarthomes,6525,8282,3,1200000,121212,4,5,3,22,509,16,354
smarthomes,6525,8282,3,2400000,121212,4,6,3,22,510,26,531
smarthomes,6525,8282,3,3600000,121212,4,6,3,22,510,24,531
smarthomes,6525,8282,3,1000,121132,5,7,1,1,0,75,74
smarthomes,6525,8282,3,5000,121132,5,20,3,7,1,166,136
smarthomes,6525,8282,3,10000,121132,5,26,2,10,2,212,174
smarthomes,6525,8282,3,30000,121132,5,32,4,16,6,340,276
smarthomes,6525,8282,3,60000,121132,5,91,3,43,7,454,385
smarthomes,6525,8282,3,120000,121132,5,131,5,80,8,663,515
smarthomes,6525,8282,3,300000,121132,5,270,11,189,10,703,631
smarthomes,6525,8282,3,600000,121132,5,484,13,388,14,800,628
smarthomes,6525,8282,3,1200000,121132,5,976,18,884,26,954,750
smarthomes,6525,8282,3,2400000,121132,5,1760,25,1718,23,1022,825
smarthomes,6525,8282,3,3600000,121132,5,2691,21,2867,32,1202,969
smarthomes,6525,8282,3,1000,121312,6,0,5,0,0,0,11
smarthomes,6525,8282,3,5000,121312,6,24,17,1,0,0,53
smarthomes,6525,8282,3,10000,121312,6,24,17,1,0,0,76
smarthomes,6525,8282,3,30000,121312,6,99,86,2,4,0,128
smarthomes,6525,8282,3,60000,121312,6,111,88,2,11,0,137
smarthomes,6525,8282,3,120000,121312,6,116,164,4,28,1,180
smarthomes,6525,8282,3,300000,121312,6,200,196,7,79,1,225
smarthomes,6525,8282,3,600000,121312,6,260,270,13,138,1,318
smarthomes,6525,8282,3,1200000,121312,6,565,606,24,329,2,393
smarthomes,6525,8282,3,2400000,121312,6,682,606,28,522,2,420
smarthomes,6525,8282,3,3600000,121312,6,838,609,31,925,2,486
smarthomes,6525,8282,3,1000,121232,7,0,0,0,0,4,0
smarthomes,6525,8282,3,5000,121232,7,1,1,2,0,9,27
smarthomes,6525,8282,3,10000,121232,7,1,1,2,0,22,48
smarthomes,6525,8282,3,30000,121232,7,3,4,4,0,100,157
smarthomes,6525,8282,3,60000,121232,7,19,6,16,0,142,210
smarthomes,6525,8282,3,120000,121232,7,38,8,33,1,277,348
smarthomes,6525,8282,3,300000,121232,7,109,9,82,1,417,448
smarthomes,6525,8282,3,600000,121232,7,169,9,118,2,524,559
smarthomes,6525,8282,3,1200000,121232,7,341,15,182,3,758,866
smarthomes,6525,8282,3,2400000,121232,7,414,11,247,3,921,947
smarthomes,6525,8282,3,3600000,121232,7,604,13,327,3,1962,1069
smarthomes,6525,8282,3,1000,121322,8,107,5,2,7,0,18
smarthomes,6525,8282,3,5000,121322,8,148,17,2,31,27,87
smarthomes,6525,8282,3,10000,121322,8,180,17,2,38,48,170
smarthomes,6525,8282,3,30000,121322,8,703,85,4,90,154,1748
smarthomes,6525,8282,3,60000,121322,8,3228,87,18,117,200,2904
smarthomes,6525,8282,3,120000,121322,8,18310,141,48,154,342,12464
smarthomes,6525,8282,3,300000,121322,8,41305,169,106,193,467,26407
smarthomes,6525,8282,3,600000,121322,8,52537,282,143,283,559,36108
smarthomes,6525,8282,3,1200000,121322,8,67540,445,245,408,926,47375
smarthomes,6525,8282,3,2400000,121322,8,71837,445,344,508,1031,51122
smarthomes,6525,8282,3,3600000,121322,8,96353,445,414,564,1125,78203
smartdevices,2581,3278,3,1000,121122,3,3,0,4,0,4,28
smartdevices,2581,3278,3,5000,121122,3,3,0,4,0,6,45
smartdevices,2581,3278,3,10000,121122,3,3,0,4,0,6,45
smartdevices,2581,3278,3,30000,121122,3,4,0,7,0,9,97
smartdevices,2581,3278,3,60000,121122,3,6,0,21,0,12,164
smartdevices,2581,3278,3,120000,121122,3,33,0,32,0,37,1001
smartdevices,2581,3278,3,300000,121122,3,69,0,126,0,60,1409
smartdevices,2581,3278,3,600000,121122,3,238,0,358,0,188,2061
smartdevices,2581,3278,3,1200000,121122,3,895,0,1365,0,706,5876
smartdevices,2581,3278,3,2400000,121122,3,2388,0,3711,2,1869,15011
smartdevices,2581,3278,3,3600000,121122,3,3534,1,5427,2,2807,22115
smartdevices,2581,3278,3,1000,121212,4,0,0,0,0,0,0
smartdevices,2581,3278,3,5000,121212,4,0,0,0,2,1,1
smartdevices,2581,3278,3,10000,121212,4,0,0,0,3,1,2
smartdevices,2581,3278,3,30000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,60000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,120000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,300000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,600000,121212,4,1,0,0,7,1,7
smartdevices,2581,3278,3,1200000,121212,4,1,0,0,7,1,9
smartdevices,2581,3278,3,2400000,121212,4,1,0,0,7,1,16
smartdevices,2581,3278,3,3600000,121212,4,3,1,0,7,6,46
smartdevices,2581,3278,3,1000,121132,5,6,0,1,0,48,35
smartdevices,2581,3278,3,5000,121132,5,4,1,4,0,78,43
smartdevices,2581,3278,3,10000,121132,5,5,1,3,0,88,50
smartdevices,2581,3278,3,30000,121132,5,12,1,10,0,267,214
smartdevices,2581,3278,3,60000,121132,5,31,1,21,0,392,336
