test,time_window,time_leap,pattern,frequency,length,size
datamining, 60000, 60000, 01, 5233, 1, 2
datamining, 60000, 60000, 0112, 488, 2, 3
datamining, 60000, 60000, 011223, 48, 3, 4
datamining, 60000, 60000, 011221, 12, 3, 3
datamining, 60000, 60000, 0110, 2, 2, 2
datamining, 120000, 60000, 01, 5233, 1, 2
datamining, 120000, 60000, 0112, 488, 2, 3
datamining, 120000, 60000, 011223, 48, 3, 4
datamining, 120000, 60000, 011221, 12, 3, 3
datamining, 120000, 60000, 0110, 2, 2, 2
datamining, 120000, 120000, 01, 5233, 1, 2
datamining, 120000, 120000, 0112, 803, 2, 3
datamining, 120000, 120000, 011223, 248, 3, 4
datamining, 120000, 120000, 011221, 14, 3, 3
datamining, 120000, 120000, 0110, 2, 2, 2
datamining, 180000, 60000, 01, 5233, 1, 2
datamining, 180000, 60000, 0112, 488, 2, 3
datamining, 180000, 60000, 011223, 48, 3, 4
datamining, 180000, 60000, 011221, 12, 3, 3
datamining, 180000, 60000, 0110, 2, 2, 2
datamining, 180000, 120000, 01, 5233, 1, 2
datamining, 180000, 120000, 0112, 803, 2, 3
datamining, 180000, 120000, 011223, 250, 3, 4
datamining, 180000, 120000, 011221, 14, 3, 3
datamining, 180000, 120000, 0110, 2, 2, 2
datamining, 180000, 180000, 01, 5233, 1, 2
datamining, 180000, 180000, 0112, 984, 2, 3
datamining, 180000, 180000, 011223, 353, 3, 4
datamining, 180000, 180000, 011221, 35, 3, 3
datamining, 180000, 180000, 0110, 4, 2, 2
datamining, 180000, 180000, 01122113, 1, 4, 4
datamining, 180000, 180000, 01122112, 1, 4, 3
datamining, 180000, 180000, 011220, 1, 3, 3
datamining, 180000, 180000, 011002, 1, 3, 3
datamining, 180000, 180000, 011001, 1, 3, 2
datamining, 240000, 60000, 01, 5233, 1, 2
datamining, 240000, 60000, 0112, 488, 2, 3
datamining, 240000, 60000, 011223, 48, 3, 4
datamining, 240000, 60000, 011221, 12, 3, 3
datamining, 240000, 60000, 0110, 2, 2, 2
datamining, 240000, 120000, 01, 5233, 1, 2
datamining, 240000, 120000, 0112, 803, 2, 3
datamining, 240000, 120000, 011223, 250, 3, 4
datamining, 240000, 120000, 011221, 14, 3, 3
datamining, 240000, 120000, 0110, 2, 2, 2
datamining, 240000, 180000, 01, 5233, 1, 2
datamining, 240000, 180000, 0112, 984, 2, 3
datamining, 240000, 180000, 011223, 383, 3, 4
datamining, 240000, 180000, 011221, 35, 3, 3
datamining, 240000, 180000, 0110, 4, 2, 2
datamining, 240000, 180000, 01122113, 1, 4, 4
datamining, 240000, 180000, 01122112, 1, 4, 3
datamining, 240000, 180000, 011220, 1, 3, 3
datamining, 240000, 180000, 011002, 1, 3, 3
datamining, 240000, 180000, 011001, 1, 3, 2
datamining, 240000, 240000, 01, 5233, 1, 2
datamining, 240000, 240000, 0112, 1180, 2, 3
datamining, 240000, 240000, 011223, 555, 3, 4
datamining, 240000, 240000, 011221, 35, 3, 3
datamining, 240000, 240000, 0110, 4, 2, 2
datamining, 240000, 240000, 01122113, 1, 4, 4
datamining, 240000, 240000, 01122112, 1, 4, 3
datamining, 240000, 240000, 011220, 1, 3, 3
datamining, 240000, 240000, 011002, 1, 3, 3
datamining, 240000, 240000, 011001, 1, 3, 2
datamining, 300000, 60000, 01, 5233, 1, 2
datamining, 300000, 60000, 0112, 488, 2, 3
datamining, 300000, 60000, 011223, 48, 3, 4
datamining, 300000, 60000, 011221, 12, 3, 3
datamining, 300000, 60000, 0110, 2, 2, 2
