test,time_window,time_leap,pattern,frequency,length,size
devices, 60000, 60000, 01, 3191, 1, 2
devices, 60000, 60000, 0112, 735, 2, 3
devices, 60000, 60000, 011223, 81, 3, 4
devices, 60000, 60000, 0110, 20, 2, 2
devices, 60000, 60000, 01122331, 6, 4, 4
devices, 60000, 60000, 0112233112, 5, 5, 4
devices, 60000, 60000, 011221, 3, 3, 3
devices, 60000, 60000, 011220, 2, 3, 3
devices, 60000, 60000, 011002, 2, 3, 3
devices, 60000, 60000, 01122001, 1, 4, 3
devices, 60000, 60000, 011001, 1, 3, 2
devices, 120000, 60000, 01, 3191, 1, 2
devices, 120000, 60000, 0112, 735, 2, 3
devices, 120000, 60000, 011223, 86, 3, 4
devices, 120000, 60000, 0112233112, 38, 5, 4
devices, 120000, 60000, 01122331, 38, 4, 4
devices, 120000, 60000, 0110, 20, 2, 2
devices, 120000, 60000, 011221, 6, 3, 3
devices, 120000, 60000, 01122113, 4, 4, 4
devices, 120000, 60000, 011002, 4, 3, 3
devices, 120000, 60000, 011001, 4, 3, 2
devices, 120000, 60000, 011220, 2, 3, 3
devices, 120000, 60000, 01122001, 1, 4, 3
devices, 120000, 60000, 0110022110, 1, 5, 3
devices, 120000, 60000, 01100221, 1, 4, 3
devices, 120000, 120000, 01, 3191, 1, 2
devices, 120000, 120000, 0112, 1047, 2, 3
devices, 120000, 120000, 011223, 161, 3, 4
devices, 120000, 120000, 01122331, 57, 4, 4
devices, 120000, 120000, 0112233112, 45, 5, 4
devices, 120000, 120000, 0110, 36, 2, 2
devices, 120000, 120000, 011221, 35, 3, 3
devices, 120000, 120000, 01122113, 31, 4, 4
devices, 120000, 120000, 011001, 17, 3, 2
devices, 120000, 120000, 011002, 11, 3, 3
devices, 120000, 120000, 011220, 5, 3, 3
devices, 120000, 120000, 01122334, 2, 4, 5
devices, 120000, 120000, 011223311223, 2, 6, 4
devices, 120000, 120000, 0112211223, 2, 5, 4
devices, 120000, 120000, 01122112, 2, 4, 3
devices, 120000, 120000, 01122001, 2, 4, 3
devices, 120000, 120000, 0110022110, 2, 5, 3
devices, 120000, 120000, 01100221, 2, 4, 3
devices, 120000, 120000, 01122110, 1, 4, 3
devices, 120000, 120000, 0112200112, 1, 5, 3
devices, 120000, 120000, 01100223, 1, 4, 4
devices, 120000, 120000, 011002211002, 1, 6, 3
devices, 120000, 120000, 01100112, 1, 4, 3
devices, 120000, 120000, 0110011002, 1, 5, 3
devices, 120000, 120000, 01100110, 1, 4, 2
devices, 180000, 60000, 01, 3191, 1, 2
devices, 180000, 60000, 0112, 735, 2, 3
devices, 180000, 60000, 011223, 86, 3, 4
devices, 180000, 60000, 0112233112, 38, 5, 4
devices, 180000, 60000, 01122331, 38, 4, 4
devices, 180000, 60000, 0110, 20, 2, 2
devices, 180000, 60000, 011221, 6, 3, 3
devices, 180000, 60000, 01122113, 4, 4, 4
devices, 180000, 60000, 011002, 4, 3, 3
devices, 180000, 60000, 011001, 4, 3, 2
devices, 180000, 60000, 011220, 2, 3, 3
devices, 180000, 60000, 01122001, 1, 4, 3
devices, 180000, 60000, 0110022110, 1, 5, 3
devices, 180000, 60000, 01100221, 1, 4, 3
devices, 180000, 120000, 01, 3191, 1, 2
devices, 180000, 120000, 0112, 1047, 2, 3
devices, 180000, 120000, 011223, 197, 3, 4
devices, 180000, 120000, 01122331, 88, 4, 4
devices, 180000, 120000, 0112233112, 69, 5, 4
devices, 180000, 120000, 011221, 41, 3, 3
devices, 180000, 120000, 0110, 36, 2, 2
devices, 180000, 120000, 01122113, 33, 4, 4
devices, 180000, 120000, 011001, 26, 3, 2
devices, 180000, 120000, 011002, 11, 3, 3
devices, 180000, 120000, 01100110, 9, 4, 2
devices, 180000, 120000, 01122334, 8, 4, 5
devices, 180000, 120000, 011220, 7, 3, 3
devices, 180000, 120000, 01122001, 5, 4, 3
devices, 180000, 120000, 01122112, 4, 4, 3
devices, 180000, 120000, 0110022110, 3, 5, 3
devices, 180000, 120000, 01100221, 3, 4, 3
devices, 180000, 120000, 011223311223, 2, 6, 4
devices, 180000, 120000, 0112211334, 2, 5, 5
devices, 180000, 120000, 0112211223, 2, 5, 4
devices, 180000, 120000, 01100223, 2, 4, 4
devices, 180000, 120000, 01122110, 1, 4, 3
devices, 180000, 120000, 0112200112, 1, 5, 3
devices, 180000, 120000, 011002211002, 1, 6, 3
devices, 180000, 120000, 01100112, 1, 4, 3
devices, 180000, 120000, 0110011002, 1, 5, 3
devices, 180000, 180000, 01, 3191, 1, 2
