test,time_window,time_leap,pattern,frequency,length,size
itsecurity, 60000, 60000, 01, 6766, 1, 2
itsecurity, 60000, 60000, 0112, 664, 2, 3
itsecurity, 60000, 60000, 011223, 26, 3, 4
itsecurity, 60000, 60000, 0110, 3, 2, 2
itsecurity, 120000, 60000, 01, 6766, 1, 2
itsecurity, 120000, 60000, 0112, 664, 2, 3
itsecurity, 120000, 60000, 011223, 26, 3, 4
itsecurity, 120000, 60000, 0110, 3, 2, 2
itsecurity, 120000, 120000, 01, 6766, 1, 2
itsecurity, 120000, 120000, 0112, 1246, 2, 3
itsecurity, 120000, 120000, 011223, 163, 3, 4
itsecurity, 120000, 120000, 011002, 30, 3, 3
itsecurity, 120000, 120000, 0110, 12, 2, 2
itsecurity, 120000, 120000, 01122334, 9, 4, 5
itsecurity, 120000, 120000, 01100223, 3, 4, 4
itsecurity, 180000, 60000, 01, 6766, 1, 2
itsecurity, 180000, 60000, 0112, 664, 2, 3
itsecurity, 180000, 60000, 011223, 26, 3, 4
itsecurity, 180000, 60000, 0110, 3, 2, 2
itsecurity, 180000, 120000, 01, 6766, 1, 2
itsecurity, 180000, 120000, 0112, 1246, 2, 3
itsecurity, 180000, 120000, 011223, 256, 3, 4
itsecurity, 180000, 120000, 011002, 64, 3, 3
itsecurity, 180000, 120000, 01100223, 25, 4, 4
itsecurity, 180000, 120000, 011221, 13, 3, 3
itsecurity, 180000, 120000, 0110, 12, 2, 2
itsecurity, 180000, 120000, 01122334, 9, 4, 5
itsecurity, 180000, 120000, 01100112, 9, 4, 3
itsecurity, 180000, 120000, 011001, 4, 3, 2
itsecurity, 180000, 120000, 0110022334, 2, 5, 5
itsecurity, 180000, 120000, 0110011223, 1, 5, 4
itsecurity, 180000, 180000, 01, 6766, 1, 2
itsecurity, 180000, 180000, 0112, 1735, 2, 3
itsecurity, 180000, 180000, 011223, 285, 3, 4
itsecurity, 180000, 180000, 011002, 64, 3, 3
itsecurity, 180000, 180000, 01100223, 25, 4, 4
itsecurity, 180000, 180000, 011221, 13, 3, 3
itsecurity, 180000, 180000, 0110, 12, 2, 2
itsecurity, 180000, 180000, 01122334, 9, 4, 5
itsecurity, 180000, 180000, 01100112, 9, 4, 3
itsecurity, 180000, 180000, 011001, 4, 3, 2
