test,time_window,time_leap,pattern,frequency,length,size
smartdevices, 60000, 60000, 01, 1593, 1, 2
smartdevices, 60000, 60000, 0112, 94, 2, 3
smartdevices, 60000, 60000, 0110, 8, 2, 2
smartdevices, 60000, 60000, 011221, 7, 3, 3
smartdevices, 60000, 60000, 011001, 1, 3, 2
smartdevices, 120000, 60000, 01, 1593, 1, 2
smartdevices, 120000, 60000, 0112, 94, 2, 3
smartdevices, 120000, 60000, 0110, 8, 2, 2
smartdevices, 120000, 60000, 011221, 7, 3, 3
smartdevices, 120000, 60000, 011001, 1, 3, 2
smartdevices, 120000, 120000, 01, 1593, 1, 2
smartdevices, 120000, 120000, 0112, 133, 2, 3
smartdevices, 120000, 120000, 0110, 8, 2, 2
smartdevices, 120000, 120000, 011221, 7, 3, 3
smartdevices, 120000, 120000, 011001, 1, 3, 2
smartdevices, 180000, 60000, 01, 1593, 1, 2
smartdevices, 180000, 60000, 0112, 94, 2, 3
smartdevices, 180000, 60000, 0110, 8, 2, 2
smartdevices, 180000, 60000, 011221, 7, 3, 3
smartdevices, 180000, 60000, 011001, 1, 3, 2
smartdevices, 180000, 120000, 01, 1593, 1, 2
smartdevices, 180000, 120000, 0112, 133, 2, 3
smartdevices, 180000, 120000, 0110, 8, 2, 2
smartdevices, 180000, 120000, 011221, 7, 3, 3
smartdevices, 180000, 120000, 011001, 1, 3, 2
smartdevices, 180000, 180000, 01, 1593, 1, 2
smartdevices, 180000, 180000, 0112, 216, 2, 3
smartdevices, 180000, 180000, 0110, 8, 2, 2
smartdevices, 180000, 180000, 011221, 7, 3, 3
smartdevices, 180000, 180000, 011001, 1, 3, 2
smartdevices, 240000, 60000, 01, 1593, 1, 2
smartdevices, 240000, 60000, 0112, 94, 2, 3
smartdevices, 240000, 60000, 0110, 8, 2, 2
smartdevices, 240000, 60000, 011221, 7, 3, 3
smartdevices, 240000, 60000, 011001, 1, 3, 2
smartdevices, 240000, 120000, 01, 1593, 1, 2
smartdevices, 240000, 120000, 0112, 133, 2, 3
smartdevices, 240000, 120000, 0110, 8, 2, 2
smartdevices, 240000, 120000, 011221, 7, 3, 3
smartdevices, 240000, 120000, 011001, 1, 3, 2
smartdevices, 240000, 180000, 01, 1593, 1, 2
smartdevices, 240000, 180000, 0112, 216, 2, 3
smartdevices, 240000, 180000, 0110, 8, 2, 2
smartdevices, 240000, 180000, 011221, 7, 3, 3
smartdevices, 240000, 180000, 011001, 1, 3, 2
smartdevices, 240000, 240000, 01, 1593, 1, 2
smartdevices, 240000, 240000, 0112, 238, 2, 3
smartdevices, 240000, 240000, 0110, 8, 2, 2
smartdevices, 240000, 240000, 011221, 7, 3, 3
smartdevices, 240000, 240000, 011001, 1, 3, 2
smartdevices, 300000, 60000, 01, 1593, 1, 2
smartdevices, 300000, 60000, 0112, 94, 2, 3
smartdevices, 300000, 60000, 0110, 8, 2, 2
smartdevices, 300000, 60000, 011221, 7, 3, 3
smartdevices, 300000, 60000, 011001, 1, 3, 2
smartdevices, 300000, 120000, 01, 1593, 1, 2
smartdevices, 300000, 120000, 0112, 133, 2, 3
smartdevices, 300000, 120000, 0110, 8, 2, 2
smartdevices, 300000, 120000, 011221, 7, 3, 3
smartdevices, 300000, 120000, 011001, 1, 3, 2
smartdevices, 300000, 180000, 01, 1593, 1, 2
smartdevices, 300000, 180000, 0112, 216, 2, 3
smartdevices, 300000, 180000, 0110, 8, 2, 2
smartdevices, 300000, 180000, 011221, 7, 3, 3
smartdevices, 300000, 180000, 011001, 1, 3, 2
smartdevices, 300000, 240000, 01, 1593, 1, 2
smartdevices, 300000, 240000, 0112, 238, 2, 3
smartdevices, 300000, 240000, 0110, 8, 2, 2
smartdevices, 300000, 240000, 011221, 7, 3, 3
smartdevices, 300000, 240000, 011001, 1, 3, 2
smartdevices, 300000, 300000, 01, 1593, 1, 2
smartdevices, 300000, 300000, 0112, 267, 2, 3
smartdevices, 300000, 300000, 0110, 8, 2, 2
smartdevices, 300000, 300000, 011221, 7, 3, 3
smartdevices, 300000, 300000, 011001, 1, 3, 2
smartdevices, 360000, 60000, 01, 1593, 1, 2
smartdevices, 360000, 60000, 0112, 94, 2, 3
smartdevices, 360000, 60000, 0110, 8, 2, 2
smartdevices, 360000, 60000, 011221, 7, 3, 3
smartdevices, 360000, 60000, 011001, 1, 3, 2
smartdevices, 360000, 120000, 01, 1593, 1, 2
smartdevices, 360000, 120000, 0112, 133, 2, 3
smartdevices, 360000, 120000, 0110, 8, 2, 2
smartdevices, 360000, 120000, 011221, 7, 3, 3
smartdevices, 360000, 120000, 011001, 1, 3, 2
smartdevices, 360000, 180000, 01, 1593, 1, 2
smartdevices, 360000, 180000, 0112, 216, 2, 3
smartdevices, 360000, 180000, 0110, 8, 2, 2
smartdevices, 360000, 180000, 011221, 7, 3, 3
smartdevices, 360000, 180000, 011001, 1, 3, 2
smartdevices, 360000, 240000, 01, 1593, 1, 2
smartdevices, 360000, 240000, 0112, 238, 2, 3
smartdevices, 360000, 240000, 0110, 8, 2, 2
smartdevices, 360000, 240000, 011221, 7, 3, 3
smartdevices, 360000, 240000, 011001, 1, 3, 2
smartdevices, 360000, 300000, 01, 1593, 1, 2
smartdevices, 360000, 300000, 0112, 267, 2, 3
smartdevices, 360000, 300000, 0110, 8, 2, 2
smartdevices, 360000, 300000, 011221, 7, 3, 3
smartdevices, 360000, 300000, 011001, 1, 3, 2
smartdevices, 360000, 360000, 01, 1593, 1, 2
smartdevices, 360000, 360000, 0112, 323, 2, 3
smartdevices, 360000, 360000, 0110, 8, 2, 2
smartdevices, 360000, 360000, 011221, 7, 3, 3
smartdevices, 360000, 360000, 011001, 1, 3, 2
smartdevices, 420000, 60000, 01, 1593, 1, 2
smartdevices, 420000, 60000, 0112, 94, 2, 3
smartdevices, 420000, 60000, 0110, 8, 2, 2
smartdevices, 420000, 60000, 011221, 7, 3, 3
smartdevices, 420000, 60000, 011001, 1, 3, 2
smartdevices, 420000, 120000, 01, 1593, 1, 2
smartdevices, 420000, 120000, 0112, 133, 2, 3
smartdevices, 420000, 120000, 0110, 8, 2, 2
smartdevices, 420000, 120000, 011221, 7, 3, 3
smartdevices, 420000, 120000, 011001, 1, 3, 2
smartdevices, 420000, 180000, 01, 1593, 1, 2
smartdevices, 420000, 180000, 0112, 216, 2, 3
smartdevices, 420000, 180000, 0110, 8, 2, 2
smartdevices, 420000, 180000, 011221, 7, 3, 3
smartdevices, 420000, 180000, 011001, 1, 3, 2
smartdevices, 420000, 240000, 01, 1593, 1, 2
smartdevices, 420000, 240000, 0112, 238, 2, 3
smartdevices, 420000, 240000, 0110, 8, 2, 2
smartdevices, 420000, 240000, 011221, 7, 3, 3
smartdevices, 420000, 240000, 011001, 1, 3, 2
smartdevices, 420000, 300000, 01, 1593, 1, 2
smartdevices, 420000, 300000, 0112, 267, 2, 3
smartdevices, 420000, 300000, 0110, 8, 2, 2
smartdevices, 420000, 300000, 011221, 7, 3, 3
smartdevices, 420000, 300000, 011001, 1, 3, 2
smartdevices, 420000, 360000, 01, 1593, 1, 2
smartdevices, 420000, 360000, 0112, 323, 2, 3
