test,time_window,time_leap,pattern,frequency,length,size
smarthomes, 60000, 60000, 01, 4089, 1, 2
smarthomes, 60000, 60000, 0112, 620, 2, 3
smarthomes, 60000, 60000, 011223, 124, 3, 4
smarthomes, 60000, 60000, 011221, 42, 3, 3
smarthomes, 60000, 60000, 01122334, 33, 4, 5
smarthomes, 60000, 60000, 01122113, 23, 4, 4
smarthomes, 60000, 60000, 01122112, 23, 4, 3
smarthomes, 60000, 60000, 01122332, 17, 4, 4
smarthomes, 60000, 60000, 0110, 11, 2, 2
smarthomes, 60000, 60000, 0112233445, 4, 5, 6
smarthomes, 60000, 60000, 0112233443, 4, 5, 5
smarthomes, 60000, 60000, 0112233224, 4, 5, 5
smarthomes, 60000, 60000, 0112233223, 4, 5, 4
smarthomes, 60000, 60000, 011002, 2, 3, 3
smarthomes, 60000, 60000, 011001, 2, 3, 2
smarthomes, 60000, 60000, 0112211223, 1, 5, 4
smarthomes, 60000, 60000, 0112211221, 1, 5, 3
smarthomes, 60000, 60000, 01100112, 1, 4, 3
smarthomes, 60000, 60000, 01100110, 1, 4, 2
smarthomes, 120000, 60000, 01, 4089, 1, 2
smarthomes, 120000, 60000, 0112, 620, 2, 3
smarthomes, 120000, 60000, 011223, 126, 3, 4
smarthomes, 120000, 60000, 011221, 42, 3, 3
smarthomes, 120000, 60000, 01122334, 34, 4, 5
smarthomes, 120000, 60000, 01122113, 23, 4, 4
smarthomes, 120000, 60000, 01122112, 23, 4, 3
smarthomes, 120000, 60000, 01122332, 18, 4, 4
smarthomes, 120000, 60000, 0110, 11, 2, 2
smarthomes, 120000, 60000, 0112233445, 4, 5, 6
smarthomes, 120000, 60000, 0112233443, 4, 5, 5
smarthomes, 120000, 60000, 0112233224, 4, 5, 5
smarthomes, 120000, 60000, 0112233223, 4, 5, 4
smarthomes, 120000, 60000, 011002, 2, 3, 3
smarthomes, 120000, 60000, 011001, 2, 3, 2
smarthomes, 120000, 60000, 0112211223, 1, 5, 4
smarthomes, 120000, 60000, 0112211221, 1, 5, 3
smarthomes, 120000, 60000, 01100112, 1, 4, 3
smarthomes, 120000, 60000, 01100110, 1, 4, 2
smarthomes, 120000, 120000, 01, 4089, 1, 2
smarthomes, 120000, 120000, 0112, 915, 2, 3
smarthomes, 120000, 120000, 011223, 269, 3, 4
smarthomes, 120000, 120000, 01122334, 68, 4, 5
smarthomes, 120000, 120000, 01122332, 52, 4, 4
smarthomes, 120000, 120000, 011221, 44, 3, 3
smarthomes, 120000, 120000, 01122113, 25, 4, 4
smarthomes, 120000, 120000, 01122112, 25, 4, 3
smarthomes, 120000, 120000, 0110, 14, 2, 2
smarthomes, 120000, 120000, 0112233445, 4, 5, 6
smarthomes, 120000, 120000, 0112233443, 4, 5, 5
smarthomes, 120000, 120000, 0112233224, 4, 5, 5
smarthomes, 120000, 120000, 0112233223, 4, 5, 4
smarthomes, 120000, 120000, 011002, 4, 3, 3
smarthomes, 120000, 120000, 011001, 2, 3, 2
smarthomes, 120000, 120000, 0112211223, 1, 5, 4
smarthomes, 120000, 120000, 0112211221, 1, 5, 3
smarthomes, 120000, 120000, 01122003, 1, 4, 4
smarthomes, 120000, 120000, 01122002, 1, 4, 3
smarthomes, 120000, 120000, 011220, 1, 3, 3
smarthomes, 120000, 120000, 01100112, 1, 4, 3
smarthomes, 120000, 120000, 01100110, 1, 4, 2
smarthomes, 180000, 60000, 01, 4089, 1, 2
smarthomes, 180000, 60000, 0112, 620, 2, 3
smarthomes, 180000, 60000, 011223, 126, 3, 4
smarthomes, 180000, 60000, 011221, 42, 3, 3
smarthomes, 180000, 60000, 01122334, 34, 4, 5
smarthomes, 180000, 60000, 01122113, 23, 4, 4
smarthomes, 180000, 60000, 01122112, 23, 4, 3
smarthomes, 180000, 60000, 01122332, 18, 4, 4
smarthomes, 180000, 60000, 0110, 11, 2, 2
smarthomes, 180000, 60000, 0112233445, 4, 5, 6
smarthomes, 180000, 60000, 0112233443, 4, 5, 5
smarthomes, 180000, 60000, 0112233224, 4, 5, 5
smarthomes, 180000, 60000, 0112233223, 4, 5, 4
smarthomes, 180000, 60000, 011002, 2, 3, 3
smarthomes, 180000, 60000, 011001, 2, 3, 2
smarthomes, 180000, 60000, 0112211223, 1, 5, 4
smarthomes, 180000, 60000, 0112211221, 1, 5, 3
smarthomes, 180000, 60000, 01100112, 1, 4, 3
smarthomes, 180000, 60000, 01100110, 1, 4, 2
smarthomes, 180000, 120000, 01, 4089, 1, 2
smarthomes, 180000, 120000, 0112, 915, 2, 3
smarthomes, 180000, 120000, 011223, 284, 3, 4
smarthomes, 180000, 120000, 01122334, 74, 4, 5
smarthomes, 180000, 120000, 01122332, 52, 4, 4
smarthomes, 180000, 120000, 011221, 52, 3, 3
smarthomes, 180000, 120000, 01122113, 35, 4, 4
smarthomes, 180000, 120000, 01122112, 25, 4, 3
smarthomes, 180000, 120000, 0110, 14, 2, 2
smarthomes, 180000, 120000, 01122331, 6, 4, 4
smarthomes, 180000, 120000, 0112233114, 5, 5, 5
smarthomes, 180000, 120000, 0112233113, 5, 5, 4
smarthomes, 180000, 120000, 0112233445, 4, 5, 6
smarthomes, 180000, 120000, 0112233443, 4, 5, 5
smarthomes, 180000, 120000, 0112233224, 4, 5, 5
smarthomes, 180000, 120000, 0112233223, 4, 5, 4
smarthomes, 180000, 120000, 011002, 4, 3, 3
smarthomes, 180000, 120000, 011001, 2, 3, 2
smarthomes, 180000, 120000, 0112211223, 1, 5, 4
smarthomes, 180000, 120000, 0112211221, 1, 5, 3
smarthomes, 180000, 120000, 01122003, 1, 4, 4
smarthomes, 180000, 120000, 01122002, 1, 4, 3
smarthomes, 180000, 120000, 011220, 1, 3, 3
smarthomes, 180000, 120000, 01100112, 1, 4, 3
smarthomes, 180000, 120000, 01100110, 1, 4, 2
smarthomes, 180000, 180000, 01, 4089, 1, 2
smarthomes, 180000, 180000, 0112, 1306, 2, 3
smarthomes, 180000, 180000, 011223, 346, 3, 4
smarthomes, 180000, 180000, 01122334, 87, 4, 5
smarthomes, 180000, 180000, 01122332, 65, 4, 4
smarthomes, 180000, 180000, 011221, 58, 3, 3
smarthomes, 180000, 180000, 01122113, 40, 4, 4
smarthomes, 180000, 180000, 01122112, 30, 4, 3
smarthomes, 180000, 180000, 0110, 15, 2, 2
smarthomes, 180000, 180000, 01122331, 6, 4, 4
smarthomes, 180000, 180000, 0112233114, 5, 5, 5
smarthomes, 180000, 180000, 0112233113, 5, 5, 4
smarthomes, 180000, 180000, 0112233445, 4, 5, 6
smarthomes, 180000, 180000, 0112233443, 4, 5, 5
smarthomes, 180000, 180000, 0112233224, 4, 5, 5
smarthomes, 180000, 180000, 0112233223, 4, 5, 4
smarthomes, 180000, 180000, 011002, 4, 3, 3
smarthomes, 180000, 180000, 011001, 2, 3, 2
smarthomes, 180000, 180000, 0112211223, 1, 5, 4
smarthomes, 180000, 180000, 0112211221, 1, 5, 3
smarthomes, 180000, 180000, 01122003, 1, 4, 4
smarthomes, 180000, 180000, 01122002, 1, 4, 3
smarthomes, 180000, 180000, 011220, 1, 3, 3
smarthomes, 180000, 180000, 01100112, 1, 4, 3
smarthomes, 180000, 180000, 01100110, 1, 4, 2
smarthomes, 240000, 60000, 01, 4089, 1, 2
smarthomes, 240000, 60000, 0112, 620, 2, 3
smarthomes, 240000, 60000, 011223, 126, 3, 4
smarthomes, 240000, 60000, 011221, 42, 3, 3
smarthomes, 240000, 60000, 01122334, 34, 4, 5
smarthomes, 240000, 60000, 01122113, 23, 4, 4
smarthomes, 240000, 60000, 01122112, 23, 4, 3
smarthomes, 240000, 60000, 01122332, 18, 4, 4
smarthomes, 240000, 60000, 0110, 11, 2, 2
smarthomes, 240000, 60000, 0112233445, 4, 5, 6
smarthomes, 240000, 60000, 0112233443, 4, 5, 5
smarthomes, 240000, 60000, 0112233224, 4, 5, 5
smarthomes, 240000, 60000, 0112233223, 4, 5, 4
smarthomes, 240000, 60000, 011002, 2, 3, 3
smarthomes, 240000, 60000, 011001, 2, 3, 2
smarthomes, 240000, 60000, 0112211223, 1, 5, 4
smarthomes, 240000, 60000, 0112211221, 1, 5, 3
smarthomes, 240000, 60000, 01100112, 1, 4, 3
smarthomes, 240000, 60000, 01100110, 1, 4, 2
smarthomes, 240000, 120000, 01, 4089, 1, 2
smarthomes, 240000, 120000, 0112, 915, 2, 3
smarthomes, 240000, 120000, 011223, 330, 3, 4
smarthomes, 240000, 120000, 01122334, 97, 4, 5
smarthomes, 240000, 120000, 01122113, 83, 4, 4
smarthomes, 240000, 120000, 011221, 75, 3, 3
smarthomes, 240000, 120000, 01122332, 52, 4, 4
smarthomes, 240000, 120000, 0112233114, 29, 5, 5
smarthomes, 240000, 120000, 0112233113, 29, 5, 4
smarthomes, 240000, 120000, 01122331, 29, 4, 4
smarthomes, 240000, 120000, 01122112, 25, 4, 3
smarthomes, 240000, 120000, 0110, 14, 2, 2
smarthomes, 240000, 120000, 0112233445, 4, 5, 6
smarthomes, 240000, 120000, 0112233443, 4, 5, 5
smarthomes, 240000, 120000, 0112233224, 4, 5, 5
smarthomes, 240000, 120000, 0112233223, 4, 5, 4
smarthomes, 240000, 120000, 011002, 4, 3, 3
smarthomes, 240000, 120000, 011001, 2, 3, 2
smarthomes, 240000, 120000, 0112211223, 1, 5, 4
smarthomes, 240000, 120000, 0112211221, 1, 5, 3
smarthomes, 240000, 120000, 01122003, 1, 4, 4
smarthomes, 240000, 120000, 01122002, 1, 4, 3
smarthomes, 240000, 120000, 011220, 1, 3, 3
smarthomes, 240000, 120000, 01100112, 1, 4, 3
smarthomes, 240000, 120000, 01100110, 1, 4, 2
smarthomes, 240000, 180000, 01, 4089, 1, 2
smarthomes, 240000, 180000, 0112, 1306, 2, 3
smarthomes, 240000, 180000, 011223, 404, 3, 4
smarthomes, 240000, 180000, 01122334, 116, 4, 5
smarthomes, 240000, 180000, 01122113, 101, 4, 4
smarthomes, 240000, 180000, 011221, 87, 3, 3
smarthomes, 240000, 180000, 01122332, 65, 4, 4
smarthomes, 240000, 180000, 0112233114, 35, 5, 5
smarthomes, 240000, 180000, 0112233113, 35, 5, 4
smarthomes, 240000, 180000, 01122331, 35, 4, 4
smarthomes, 240000, 180000, 01122112, 31, 4, 3
smarthomes, 240000, 180000, 0110, 15, 2, 2
smarthomes, 240000, 180000, 0112233445, 4, 5, 6
smarthomes, 240000, 180000, 0112233443, 4, 5, 5
smarthomes, 240000, 180000, 0112233224, 4, 5, 5
smarthomes, 240000, 180000, 0112233223, 4, 5, 4
smarthomes, 240000, 180000, 011002, 4, 3, 3
smarthomes, 240000, 180000, 011001, 2, 3, 2
smarthomes, 240000, 180000, 0112211223, 1, 5, 4
smarthomes, 240000, 180000, 0112211221, 1, 5, 3
smarthomes, 240000, 180000, 01122003, 1, 4, 4
smarthomes, 240000, 180000, 01122002, 1, 4, 3
smarthomes, 240000, 180000, 011220, 1, 3, 3
smarthomes, 240000, 180000, 01100112, 1, 4, 3
smarthomes, 240000, 180000, 01100110, 1, 4, 2
smarthomes, 240000, 240000, 01, 4089, 1, 2
smarthomes, 240000, 240000, 0112, 1543, 2, 3
smarthomes, 240000, 240000, 011223, 439, 3, 4
smarthomes, 240000, 240000, 01122113, 130, 4, 4
smarthomes, 240000, 240000, 01122334, 116, 4, 5
smarthomes, 240000, 240000, 011221, 116, 3, 3
smarthomes, 240000, 240000, 01122332, 65, 4, 4
smarthomes, 240000, 240000, 01122112, 60, 4, 3
smarthomes, 240000, 240000, 0112233114, 35, 5, 5
smarthomes, 240000, 240000, 0112233113, 35, 5, 4
smarthomes, 240000, 240000, 01122331, 35, 4, 4
