test,time_window,time_leap,pattern,frequency,length,size
model1_5000, 60000, 60000, 01, 2500, 1, 2
model1_5000, 60000, 60000, 0112, 53, 2, 3
model1_5000, 60000, 60000, 011223, 1, 3, 4
model1_5000, 120000, 60000, 01, 2500, 1, 2
model1_5000, 120000, 60000, 0112, 53, 2, 3
model1_5000, 120000, 60000, 011223, 1, 3, 4
model1_5000, 120000, 120000, 01, 2500, 1, 2
model1_5000, 120000, 120000, 0112, 94, 2, 3
model1_5000, 120000, 120000, 011223, 3, 3, 4
model1_5000, 180000, 60000, 01, 2500, 1, 2
model1_5000, 180000, 60000, 0112, 53, 2, 3
model1_5000, 180000, 60000, 011223, 1, 3, 4
model1_5000, 180000, 120000, 01, 2500, 1, 2
model1_5000, 180000, 120000, 0112, 94, 2, 3
model1_5000, 180000, 120000, 011223, 4, 3, 4
model1_5000, 180000, 120000, 01122334, 1, 4, 5
model1_5000, 180000, 180000, 01, 2500, 1, 2
model1_5000, 180000, 180000, 0112, 130, 2, 3
model1_5000, 180000, 180000, 011223, 5, 3, 4
model1_5000, 180000, 180000, 01122334, 1, 4, 5
model1_5000, 240000, 60000, 01, 2500, 1, 2
model1_5000, 240000, 60000, 0112, 53, 2, 3
model1_5000, 240000, 60000, 011223, 1, 3, 4
model1_5000, 240000, 120000, 01, 2500, 1, 2
model1_5000, 240000, 120000, 0112, 94, 2, 3
model1_5000, 240000, 120000, 011223, 4, 3, 4
model1_5000, 240000, 120000, 01122334, 1, 4, 5
model1_5000, 240000, 180000, 01, 2500, 1, 2
model1_5000, 240000, 180000, 0112, 130, 2, 3
model1_5000, 240000, 180000, 011223, 6, 3, 4
model1_5000, 240000, 180000, 01122334, 1, 4, 5
model1_5000, 240000, 240000, 01, 2500, 1, 2
model1_5000, 240000, 240000, 0112, 176, 2, 3
model1_5000, 240000, 240000, 011223, 6, 3, 4
model1_5000, 240000, 240000, 01122334, 1, 4, 5
model1_5000, 300000, 60000, 01, 2500, 1, 2
model1_5000, 300000, 60000, 0112, 53, 2, 3
model1_5000, 300000, 60000, 011223, 1, 3, 4
model1_5000, 300000, 120000, 01, 2500, 1, 2
model1_5000, 300000, 120000, 0112, 94, 2, 3
model1_5000, 300000, 120000, 011223, 4, 3, 4
