test,time_window,time_leap,pattern,frequency,length,size
model_BA_5000, 3600000, 3600000, 01, 3330, 1, 2
model_BA_5000, 3600000, 3600000, 0112, 1754, 2, 3
model_BA_5000, 3600000, 3600000, 011223, 1180, 3, 4
model_BA_5000, 3600000, 3600000, 01122334, 861, 4, 5
model_BA_5000, 3600000, 3600000, 0112233445, 633, 5, 6
model_BA_5000, 3600000, 3600000, 011223344556, 423, 6, 7
model_BA_5000, 3600000, 3600000, 01122334455667, 297, 7, 8
model_BA_5000, 3600000, 3600000, 0112233445566778, 186, 8, 9
model_BA_5000, 3600000, 3600000, 011223344556677889, 73, 9, 10
model_BA_5000, 3600000, 3600000, 0112233445566778899:, 26, 10, 11
model_BA_5000, 3600000, 3600000, 0112211334455667, 14, 8, 8
model_BA_5000, 3600000, 3600000, 01100223344556, 14, 7, 7
model_BA_5000, 3600000, 3600000, 01122113344556, 13, 7, 7
model_BA_5000, 3600000, 3600000, 011221133445, 13, 6, 6
model_BA_5000, 3600000, 3600000, 011002233445, 13, 6, 6
model_BA_5000, 3600000, 3600000, 0110022334, 13, 5, 5
model_BA_5000, 3600000, 3600000, 0112233114455667, 12, 8, 8
model_BA_5000, 3600000, 3600000, 0112211334, 10, 5, 5
model_BA_5000, 3600000, 3600000, 01100223, 10, 4, 4
model_BA_5000, 3600000, 3600000, 011223344552, 6, 6, 6
model_BA_5000, 3600000, 3600000, 01122331144556, 6, 7, 7
model_BA_5000, 3600000, 3600000, 01122003344556, 6, 7, 7
model_BA_5000, 3600000, 3600000, 011002, 6, 3, 3
model_BA_5000, 3600000, 3600000, 01122334455116677889, 5, 10, 10
model_BA_5000, 3600000, 3600000, 011223344005566778, 5, 9, 9
model_BA_5000, 3600000, 3600000, 011221133445566778, 5, 9, 9
model_BA_5000, 3600000, 3600000, 01122113, 5, 4, 4
model_BA_5000, 3600000, 3600000, 0110022334455667, 5, 8, 8
model_BA_5000, 3600000, 3600000, 01122334455116, 4, 7, 7
model_BA_5000, 3600000, 3600000, 011223344551, 4, 6, 6
model_BA_5000, 3600000, 3600000, 0112233440055667, 4, 8, 8
model_BA_5000, 3600000, 3600000, 01122113344556677889, 4, 10, 10
model_BA_5000, 3600000, 3600000, 011002233445566778, 4, 9, 9
model_BA_5000, 3600000, 3600000, 01122334455662, 3, 7, 7
model_BA_5000, 3600000, 3600000, 0112233445566007, 3, 8, 8
model_BA_5000, 3600000, 3600000, 011223344551166778, 3, 9, 9
model_BA_5000, 3600000, 3600000, 01122334455006, 3, 7, 7
model_BA_5000, 3600000, 3600000, 011223344005, 3, 6, 6
model_BA_5000, 3600000, 3600000, 011223300445, 3, 6, 6
model_BA_5000, 3600000, 3600000, 0112233004, 3, 5, 5
model_BA_5000, 3600000, 3600000, 011220033445, 3, 6, 6
model_BA_5000, 3600000, 3600000, 0110, 3, 2, 2
model_BA_5000, 3600000, 3600000, 01122334455667788996, 2, 10, 10
model_BA_5000, 3600000, 3600000, 011223344556677885, 2, 9, 9
model_BA_5000, 3600000, 3600000, 011223344556677882, 2, 9, 9
model_BA_5000, 3600000, 3600000, 0112233445566774, 2, 8, 8
model_BA_5000, 3600000, 3600000, 0112233445566771, 2, 8, 8
model_BA_5000, 3600000, 3600000, 01122334455660077889, 2, 10, 10
model_BA_5000, 3600000, 3600000, 011223344556600778, 2, 9, 9
model_BA_5000, 3600000, 3600000, 01122334455660, 2, 7, 7
model_BA_5000, 3600000, 3600000, 011223344550066778, 2, 9, 9
model_BA_5000, 3600000, 3600000, 0112233445500667, 2, 8, 8
model_BA_5000, 3600000, 3600000, 01122334400556, 2, 7, 7
model_BA_5000, 3600000, 3600000, 0112233440, 2, 5, 5
model_BA_5000, 3600000, 3600000, 011223311445566778, 2, 9, 9
model_BA_5000, 3600000, 3600000, 011223311445566774, 2, 9, 8
model_BA_5000, 3600000, 3600000, 011223311445, 2, 6, 6
model_BA_5000, 3600000, 3600000, 0112233114, 2, 5, 5
model_BA_5000, 3600000, 3600000, 01122331, 2, 4, 4
model_BA_5000, 3600000, 3600000, 01122330, 2, 4, 4
model_BA_5000, 3600000, 3600000, 0112233445566773, 1, 8, 8
model_BA_5000, 3600000, 3600000, 01122334455663, 1, 7, 7
model_BA_5000, 3600000, 3600000, 011223344551166778899:, 1, 11, 11
model_BA_5000, 3600000, 3600000, 0112233445511667788996, 1, 11, 10
model_BA_5000, 3600000, 3600000, 01122334455116677883, 1, 10, 9
model_BA_5000, 3600000, 3600000, 0112233445511667, 1, 8, 8
model_BA_5000, 3600000, 3600000, 011223344550, 1, 6, 6
model_BA_5000, 3600000, 3600000, 0112233441, 1, 5, 5
model_BA_5000, 3600000, 3600000, 01122334400556677889, 1, 10, 10
model_BA_5000, 3600000, 3600000, 01122334400556677885, 1, 10, 9
model_BA_5000, 3600000, 3600000, 011223344005566772, 1, 9, 8
model_BA_5000, 3600000, 3600000, 0112233004455667, 1, 8, 8
model_BA_5000, 3600000, 3600000, 01122330044556, 1, 7, 7
model_BA_5000, 3600000, 3600000, 011221, 1, 3, 3
model_BA_5000, 3600000, 3600000, 0112200334455667, 1, 8, 8
model_BA_5000, 3600000, 3600000, 0112200334455663, 1, 8, 7
model_BA_5000, 3600000, 3600000, 0112200334, 1, 5, 5
model_BA_5000, 3600000, 3600000, 01122003, 1, 4, 4
model_BA_5000, 3600000, 3600000, 011220, 1, 3, 3
