Test, Degree
model1_5000,21
model1_5000,29
model1_5000,19
model1_5000,32
model1_5000,11
model1_5000,19
model1_5000,27
model1_5000,17
model1_5000,13
model1_5000,20
model1_5000,21
model1_5000,15
model1_5000,13
model1_5000,14
model1_5000,19
model1_5000,14
model1_5000,14
model1_5000,16
model1_5000,11
model1_5000,17
model1_5000,13
model1_5000,18
model1_5000,11
model1_5000,16
model1_5000,13
model1_5000,15
model1_5000,7
model1_5000,13
model1_5000,13
model1_5000,17
model1_5000,17
model1_5000,13
model1_5000,9
model1_5000,7
model1_5000,12
model1_5000,10
model1_5000,18
model1_5000,12
model1_5000,12
model1_5000,13
model1_5000,14
model1_5000,10
model1_5000,17
model1_5000,13
model1_5000,15
model1_5000,3
model1_5000,11
model1_5000,11
model1_5000,10
model1_5000,13
model1_5000,6
model1_5000,12
model1_5000,11
model1_5000,11
model1_5000,23
model1_5000,7
model1_5000,12
model1_5000,8
model1_5000,13
model1_5000,11
model1_5000,8
model1_5000,9
model1_5000,7
model1_5000,11
model1_5000,12
model1_5000,7
model1_5000,11
model1_5000,14
model1_5000,18
model1_5000,10
model1_5000,12
model1_5000,7
model1_5000,8
model1_5000,6
model1_5000,16
model1_5000,8
model1_5000,13
model1_5000,12
model1_5000,5
model1_5000,8
model1_5000,10
model1_5000,6
model1_5000,9
model1_5000,13
model1_5000,3
model1_5000,10
model1_5000,8
model1_5000,10
model1_5000,6
model1_5000,8
model1_5000,7
model1_5000,12
model1_5000,8
model1_5000,9
model1_5000,3
model1_5000,9
model1_5000,13
model1_5000,2
model1_5000,7
model1_5000,11
model1_5000,7
model1_5000,9
model1_5000,5
model1_5000,6
model1_5000,13
model1_5000,11
model1_5000,6
model1_5000,5
model1_5000,7
model1_5000,8
model1_5000,11
model1_5000,8
model1_5000,8
model1_5000,12
model1_5000,9
model1_5000,10
model1_5000,7
model1_5000,14
model1_5000,5
model1_5000,6
model1_5000,7
model1_5000,8
model1_5000,6
model1_5000,8
model1_5000,8
model1_5000,13
model1_5000,7
model1_5000,3
model1_5000,10
model1_5000,9
model1_5000,8
model1_5000,9
model1_5000,10
model1_5000,6
model1_5000,7
model1_5000,9
model1_5000,9
model1_5000,10
model1_5000,7
model1_5000,7
model1_5000,8
model1_5000,9
model1_5000,9
model1_5000,8
model1_5000,8
model1_5000,4
model1_5000,7
model1_5000,7
model1_5000,9
model1_5000,11
model1_5000,8
model1_5000,7
model1_5000,9
model1_5000,9
model1_5000,7
model1_5000,10
model1_5000,8
model1_5000,9
model1_5000,6
model1_5000,9
model1_5000,6
model1_5000,8
model1_5000,5
model1_5000,7
model1_5000,8
model1_5000,6
model1_5000,4
model1_5000,7
model1_5000,7
model1_5000,6
model1_5000,11
model1_5000,5
model1_5000,9
model1_5000,5
model1_5000,5
model1_5000,7
model1_5000,8
model1_5000,5
model1_5000,7
model1_5000,11
model1_5000,9
model1_5000,11
model1_5000,7
model1_5000,6
model1_5000,3
model1_5000,7
model1_5000,9
model1_5000,11
model1_5000,8
model1_5000,8
model1_5000,8
model1_5000,6
model1_5000,7
model1_5000,3
model1_5000,2
model1_5000,4
model1_5000,9
model1_5000,9
model1_5000,6
model1_5000,6
model1_5000,5
model1_5000,5
model1_5000,5
model1_5000,2
model1_5000,7
model1_5000,5
model1_5000,8
model1_5000,4
model1_5000,12
model1_5000,4
model1_5000,8
model1_5000,8
model1_5000,5
model1_5000,12
model1_5000,8
model1_5000,7
model1_5000,2
model1_5000,5
model1_5000,9
model1_5000,3
model1_5000,8
model1_5000,5
model1_5000,6
model1_5000,5
model1_5000,4
model1_5000,6
model1_5000,6
model1_5000,9
model1_5000,2
model1_5000,10
model1_5000,4
model1_5000,3
model1_5000,9
model1_5000,5
model1_5000,9
model1_5000,11
model1_5000,6
model1_5000,8
model1_5000,8
model1_5000,9
model1_5000,5
model1_5000,5
model1_5000,7
model1_5000,6
model1_5000,3
model1_5000,4
model1_5000,5
model1_5000,8
model1_5000,6
model1_5000,5
model1_5000,5
model1_5000,5
model1_5000,7
model1_5000,7
model1_5000,6
model1_5000,4
model1_5000,3
model1_5000,9
model1_5000,3
model1_5000,6
model1_5000,4
model1_5000,2
model1_5000,3
model1_5000,5
model1_5000,8
model1_5000,7
model1_5000,6
model1_5000,7
model1_5000,3
model1_5000,6
model1_5000,5
model1_5000,2
model1_5000,7
model1_5000,8
model1_5000,5
model1_5000,2
model1_5000,2
model1_5000,8
model1_5000,6
model1_5000,2
model1_5000,5
model1_5000,7
model1_5000,3
model1_5000,6
model1_5000,5
model1_5000,5
model1_5000,9
model1_5000,5
model1_5000,7
model1_5000,3
model1_5000,5
model1_5000,9
model1_5000,8
model1_5000,5
model1_5000,6
model1_5000,4
model1_5000,4
model1_5000,9
model1_5000,8
model1_5000,5
model1_5000,7
model1_5000,4
model1_5000,5
model1_5000,5
model1_5000,4
model1_5000,7
model1_5000,4
model1_5000,6
model1_5000,4
model1_5000,10
model1_5000,2
model1_5000,6
model1_5000,12
model1_5000,3
model1_5000,4
model1_5000,4
model1_5000,6
model1_5000,6
model1_5000,8
model1_5000,9
model1_5000,6
model1_5000,2
model1_5000,4
model1_5000,6
model1_5000,2
model1_5000,4
model1_5000,7
model1_5000,4
model1_5000,1
model1_5000,2
model1_5000,8
model1_5000,12
model1_5000,3
model1_5000,6
model1_5000,6
model1_5000,4
model1_5000,4
model1_5000,4
model1_5000,2
model1_5000,6
model1_5000,3
model1_5000,6
model1_5000,7
model1_5000,4
model1_5000,6
model1_5000,10
model1_5000,4
model1_5000,4
model1_5000,4
model1_5000,2
model1_5000,5
model1_5000,6
model1_5000,1
model1_5000,2
model1_5000,5
model1_5000,2
model1_5000,7
model1_5000,5
model1_5000,6
model1_5000,5
model1_5000,3
model1_5000,4
model1_5000,8
model1_5000,5
model1_5000,7
model1_5000,8
model1_5000,6
model1_5000,9
model1_5000,2
model1_5000,6
model1_5000,5
model1_5000,2
model1_5000,4
model1_5000,5
model1_5000,3
model1_5000,3
model1_5000,3
model1_5000,8
model1_5000,5
model1_5000,6
model1_5000,4
model1_5000,3
model1_5000,3
model1_5000,10
model1_5000,5
model1_5000,4
model1_5000,4
model1_5000,4
model1_5000,5
model1_5000,5
model1_5000,3
model1_5000,10
model1_5000,2
model1_5000,4
model1_5000,8
model1_5000,1
model1_5000,2
model1_5000,2
model1_5000,5
model1_5000,6
model1_5000,3
model1_5000,7
model1_5000,5
model1_5000,5
model1_5000,3
model1_5000,5
model1_5000,5
model1_5000,4
model1_5000,3
model1_5000,3
model1_5000,1
model1_5000,4
model1_5000,5
model1_5000,4
model1_5000,5
model1_5000,2
model1_5000,6
model1_5000,4
model1_5000,3
model1_5000,6
model1_5000,6
model1_5000,6
model1_5000,4
model1_5000,2
model1_5000,6
model1_5000,6
model1_5000,5
model1_5000,4
model1_5000,1
model1_5000,3
model1_5000,3
model1_5000,3
model1_5000,4
model1_5000,4
model1_5000,5
