test,time_window,time_leap,pattern,frequency,length,size
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01, 3073, 1, 2
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112, 419, 2, 3
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110, 291, 2, 2
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011221, 51, 3, 3
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002, 47, 3, 3
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223, 20, 3, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100220, 17, 4, 3
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122332, 6, 4, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100223, 5, 4, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122334, 2, 4, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122113, 2, 4, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022334, 2, 5, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022332, 2, 5, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233443, 1, 5, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233443, 1, 6, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022003, 1, 5, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011001, 1, 3, 2
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01, 3085, 1, 2
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112, 1969, 2, 3
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223, 1677, 3, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122334, 1542, 4, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233445, 1459, 5, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223344556, 1300, 6, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122334455667, 1027, 7, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100223344556, 838, 7, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233445, 782, 6, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233445566778, 728, 8, 9
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022334455667, 719, 8, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022334, 660, 5, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233445566778, 532, 9, 9
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100223, 517, 4, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223344556677889, 413, 9, 10
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110011223344556, 396, 8, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011001122334455667, 394, 9, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002, 377, 3, 3
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011221133445, 375, 6, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122334433556, 370, 7, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112211334, 368, 5, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223344335, 359, 6, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233224, 337, 5, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100112233445566778, 328, 10, 9
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233443, 323, 5, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122332, 319, 4, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233443355667, 314, 8, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223322445, 314, 6, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100223344556677889, 313, 10, 10
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122334455446, 310, 7, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122113344556, 306, 7, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223344554, 301, 6, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100112233445, 296, 7, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122113, 290, 4, 4
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122334455665, 281, 7, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110, 264, 2, 2
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011221, 261, 3, 3
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233445544667, 256, 8, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112211334455667, 251, 8, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122332244556, 243, 7, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233445566557, 236, 8, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022334433556, 233, 8, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022334455446, 220, 8, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100223344335, 215, 7, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223344335566778, 211, 9, 9
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233443355667, 210, 9, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110011223344556677889, 205, 11, 10
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233445566776, 197, 8, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022334455665, 196, 8, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223344556655778, 195, 9, 9
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0112233445566778899:, 192, 10, 11
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100220033445, 191, 7, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233445544667, 185, 9, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233445566557, 176, 9, 8
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01100223344554, 174, 7, 6
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011223344554466778, 169, 9, 9
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233443, 167, 6, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 0110022003344556, 167, 8, 7
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011001122334, 164, 6, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 01122334433556677889, 154, 10, 10
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002200334, 153, 6, 5
model_BARD_5000_50_2_10_20, 3600000, 3600000, 011002233224, 151, 6, 5
