test,time_window,time_leap,pattern,frequency,length,size
model_BAR_5000_50_2_10, 3600000, 3600000, 01, 3324, 1, 2
model_BAR_5000_50_2_10, 3600000, 3600000, 0112, 2032, 2, 3
model_BAR_5000_50_2_10, 3600000, 3600000, 011223, 1614, 3, 4
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334, 1551, 4, 5
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233445, 1500, 5, 6
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344556, 1427, 6, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334455667, 1209, 7, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233445566778, 954, 8, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344556677889, 657, 9, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233445566778899:, 424, 10, 11
model_BAR_5000_50_2_10, 3600000, 3600000, 01100223344556, 411, 7, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 011002233445, 402, 6, 6
model_BAR_5000_50_2_10, 3600000, 3600000, 0110022334, 396, 5, 5
model_BAR_5000_50_2_10, 3600000, 3600000, 0110022334455667, 331, 8, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 011221133445, 311, 6, 6
model_BAR_5000_50_2_10, 3600000, 3600000, 0112211334455667, 287, 8, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 01122113344556, 282, 7, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 01100223, 282, 4, 4
model_BAR_5000_50_2_10, 3600000, 3600000, 011002233445566778, 278, 9, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 0112211334, 261, 5, 5
model_BAR_5000_50_2_10, 3600000, 3600000, 01122332244556, 240, 7, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 011223322445566778, 237, 9, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233443355667, 229, 8, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233224455667, 227, 8, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 011002, 215, 3, 3
model_BAR_5000_50_2_10, 3600000, 3600000, 01100223344556677889, 208, 10, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344554466778, 203, 9, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334433556, 201, 7, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 011221133445566778, 191, 9, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 011223322445, 188, 6, 6
model_BAR_5000_50_2_10, 3600000, 3600000, 01122113, 177, 4, 4
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344335566778, 175, 9, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233443, 175, 5, 5
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334455665577889, 167, 10, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344335, 162, 6, 6
model_BAR_5000_50_2_10, 3600000, 3600000, 011221, 161, 3, 3
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334455665, 160, 7, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233445544667, 160, 8, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334433556677889, 160, 10, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344556655778, 159, 9, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233445566557, 157, 8, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 0110, 153, 2, 2
model_BAR_5000_50_2_10, 3600000, 3600000, 01122332244556677889, 150, 10, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344554, 149, 6, 6
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233224, 149, 5, 5
model_BAR_5000_50_2_10, 3600000, 3600000, 01122332, 148, 4, 4
model_BAR_5000_50_2_10, 3600000, 3600000, 01122113344556677889, 141, 10, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334455446, 138, 7, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334455446677889, 130, 10, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 011002233445566778899:, 127, 11, 11
model_BAR_5000_50_2_10, 3600000, 3600000, 0112233445566776, 119, 8, 8
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344556677668, 110, 9, 9
model_BAR_5000_50_2_10, 3600000, 3600000, 01100220033445, 110, 7, 6
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344554466778899:, 107, 11, 11
model_BAR_5000_50_2_10, 3600000, 3600000, 011221133445566778899:, 107, 11, 11
model_BAR_5000_50_2_10, 3600000, 3600000, 01122334455667766889, 104, 10, 10
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344556677668899:, 103, 11, 11
model_BAR_5000_50_2_10, 3600000, 3600000, 011223344335566778899:, 101, 11, 11
model_BAR_5000_50_2_10, 3600000, 3600000, 0110022003344556, 101, 8, 7
model_BAR_5000_50_2_10, 3600000, 3600000, 011223322445566778899:, 99, 11, 11
