nodeID1, nodeID2, degree1, degree2
193382, 193383, 2, 2
408274, 408158, 1, 227
408158, 408159, 227, 227
408274, 408158, 1, 227
408274, 408159, 1, 227
193383, 193382, 2, 2
121102, 121091, 3, 52
121102, 121090, 3, 120
121102, 121090, 3, 120
121102, 143193, 3, 38
121102, 121090, 3, 120
121102, 132288, 3, 36
188936, 188937, 5, 2
188936, 188939, 5, 2
188936, 188938, 5, 2
188936, 188937, 5, 2
188936, 188939, 5, 2
188936, 188938, 5, 2
176701, 176679, 1, 4
176701, 176680, 1, 4
409172, 408158, 1, 227
408158, 408159, 227, 227
409172, 408158, 1, 227
409172, 408159, 1, 227
408158, 408159, 227, 227
181509, 178945, 1, 6
181509, 178944, 1, 6
82601, 82602, 2, 6
82602, 112117, 6, 23
82601, 82602, 2, 6
82601, 112117, 2, 23
82601, 32697, 2, 110
32697, 112117, 110, 23
82601, 32697, 2, 110
32697, 145132, 110, 5
82601, 32697, 2, 110
32697, 401681, 110, 25
32697, 401681, 110, 25
32697, 401681, 110, 25
32697, 109489, 110, 14
32697, 109488, 110, 49
32697, 102168, 110, 8
32697, 102169, 110, 8
32697, 78545, 110, 9
32697, 112117, 110, 23
32697, 112117, 110, 23
32697, 145132, 110, 5
32697, 22126, 110, 14
22126, 22129, 14, 11
32697, 22126, 110, 14
32697, 145131, 110, 7
408343, 408158, 1, 227
408158, 408159, 227, 227
408343, 408158, 1, 227
408343, 408159, 1, 227
286063, 285767, 1, 100
93025, 92992, 1, 8
93025, 92993, 1, 8
181895, 178603, 1, 3
181895, 178604, 1, 3
406254, 406256, 1, 1
406254, 406255, 1, 1
3747, 3744, 3, 5
3747, 154412, 3, 3
3747, 154411, 3, 3
3747, 308534, 3, 17
3747, 35920, 3, 43
3747, 54733, 3, 34
154411, 154412, 3, 3
79459, 3623, 15, 103
3623, 19506, 103, 27
79459, 3623, 15, 103
3623, 19506, 103, 27
79459, 3623, 15, 103
3623, 19506, 103, 27
79459, 3623, 15, 103
3623, 19506, 103, 27
79459, 3623, 15, 103
79459, 38941, 15, 6
79459, 121091, 15, 52
79459, 121090, 15, 120
79459, 308650, 15, 12
79459, 162771, 15, 8
162771, 168241, 8, 1
79459, 162771, 15, 8
162771, 170519, 8, 1
79459, 162771, 15, 8
79459, 77743, 15, 7
79459, 77742, 15, 10
77742, 134548, 10, 5
79459, 77742, 15, 10
79459, 195377, 15, 11
79459, 294435, 15, 5
79459, 281361, 15, 3
79459, 152933, 15, 2
79459, 96160, 15, 4
79459, 275603, 15, 8
79459, 109939, 15, 49
79459, 109938, 15, 51
79459, 187486, 15, 5
79459, 64293, 15, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64293, 99616, 68, 9
64298, 64293, 39, 68
64293, 64298, 68, 39
79459, 64293, 15, 68
64298, 99616, 39, 9
64293, 64298, 68, 39
79459, 64293, 15, 68
64293, 99616, 68, 9
79459, 64293, 15, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64293, 99616, 68, 9
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 99616, 39, 9
64293, 64298, 68, 39
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64293, 99616, 68, 9
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 99616, 39, 9
64293, 64298, 68, 39
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
64293, 64298, 68, 39
64298, 64293, 39, 68
