nodeID, degree
193383, 2
193382, 2
408158, 227
408274, 1
408159, 227
408158, 227
408274, 1
408159, 227
408274, 1
193382, 2
193383, 2
121091, 52
121102, 3
121090, 120
121102, 3
121090, 120
121102, 3
143193, 38
121102, 3
121090, 120
121102, 3
132288, 36
121102, 3
188937, 2
188936, 5
188939, 2
188936, 5
188938, 2
188936, 5
188937, 2
188936, 5
188939, 2
188936, 5
188938, 2
188936, 5
176679, 4
176701, 1
176680, 4
176701, 1
408158, 227
409172, 1
408159, 227
408158, 227
409172, 1
408159, 227
409172, 1
408159, 227
408158, 227
178945, 6
181509, 1
178944, 6
181509, 1
82602, 6
82601, 2
112117, 23
82602, 6
82601, 2
112117, 23
82601, 2
32697, 110
82601, 2
112117, 23
32697, 110
82601, 2
145132, 5
32697, 110
82601, 2
401681, 25
32697, 110
401681, 25
32697, 110
401681, 25
32697, 110
109489, 14
32697, 110
109488, 49
32697, 110
102168, 8
32697, 110
102169, 8
32697, 110
78545, 9
32697, 110
112117, 23
32697, 110
112117, 23
32697, 110
145132, 5
32697, 110
22126, 14
32697, 110
22126, 14
22129, 11
32697, 110
145131, 7
32697, 110
408158, 227
408343, 1
408159, 227
408158, 227
408343, 1
408159, 227
408343, 1
285767, 100
286063, 1
92992, 8
93025, 1
92993, 8
93025, 1
178603, 3
181895, 1
178604, 3
181895, 1
406256, 1
406254, 1
406255, 1
406254, 1
3744, 5
3747, 3
154412, 3
3747, 3
154411, 3
3747, 3
308534, 17
3747, 3
35920, 43
3747, 3
54733, 34
3747, 3
154412, 3
154411, 3
3623, 103
79459, 15
19506, 27
3623, 103
79459, 15
19506, 27
3623, 103
79459, 15
19506, 27
3623, 103
79459, 15
19506, 27
3623, 103
79459, 15
38941, 6
79459, 15
121091, 52
79459, 15
121090, 120
79459, 15
308650, 12
79459, 15
162771, 8
79459, 15
162771, 8
168241, 1
79459, 15
162771, 8
170519, 1
79459, 15
77743, 7
79459, 15
77742, 10
79459, 15
134548, 5
77742, 10
79459, 15
195377, 11
79459, 15
294435, 5
79459, 15
281361, 3
79459, 15
152933, 2
79459, 15
96160, 4
79459, 15
275603, 8
79459, 15
109939, 49
79459, 15
109938, 51
79459, 15
187486, 5
79459, 15
64293, 68
79459, 15
64293, 68
64298, 39
79459, 15
64293, 68
64298, 39
79459, 15
64293, 68
64298, 39
79459, 15
64293, 68
64298, 39
79459, 15
64293, 68
64298, 39
79459, 15
64293, 68
64298, 39
79459, 15
64293, 68
64298, 39
79459, 15
64293, 68
64298, 39
79459, 15
99616, 9
64293, 68
64298, 39
79459, 15
99616, 9
64293, 68
64298, 39
79459, 15
99616, 9
64293, 68
