Test, Degree
smartdevices,281
smartdevices,268
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,61
smartdevices,4
smartdevices,7
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,8
smartdevices,169
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,4
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,4
smartdevices,1
smartdevices,5
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,2
smartdevices,62
smartdevices,5
smartdevices,2
smartdevices,3
smartdevices,3
smartdevices,6
smartdevices,2
smartdevices,1
smartdevices,14
smartdevices,2
smartdevices,4
smartdevices,6
smartdevices,6
smartdevices,7
smartdevices,2
smartdevices,48
smartdevices,1
smartdevices,24
smartdevices,2
smartdevices,14
smartdevices,3
smartdevices,10
smartdevices,3
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,3
smartdevices,4
smartdevices,4
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,3
smartdevices,4
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,39
smartdevices,8
smartdevices,4
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,7
smartdevices,1
smartdevices,21
smartdevices,2
smartdevices,1
smartdevices,6
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,5
smartdevices,2
smartdevices,2
smartdevices,9
smartdevices,20
smartdevices,6
smartdevices,2
smartdevices,8
smartdevices,3
smartdevices,2
smartdevices,5
smartdevices,3
smartdevices,2
smartdevices,4
smartdevices,1
smartdevices,7
smartdevices,1
smartdevices,10
smartdevices,4
smartdevices,13
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,36
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,4
smartdevices,4
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,3
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,3
smartdevices,46
smartdevices,2
smartdevices,6
smartdevices,2
smartdevices,2
smartdevices,3
smartdevices,3
smartdevices,6
smartdevices,3
smartdevices,3
smartdevices,1
smartdevices,8
smartdevices,2
smartdevices,6
smartdevices,2
smartdevices,5
smartdevices,6
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,28
smartdevices,5
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,5
smartdevices,5
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,64
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,7
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,3
smartdevices,2
smartdevices,2
smartdevices,3
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,2
smartdevices,4
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,33
smartdevices,2
smartdevices,2
smartdevices,8
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,3
smartdevices,1
smartdevices,9
smartdevices,8
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,6
smartdevices,1
smartdevices,23
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,3
smartdevices,4
smartdevices,7
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,4
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,7
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,4
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,5
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,6
smartdevices,4
smartdevices,2
smartdevices,4
smartdevices,4
smartdevices,1
smartdevices,25
smartdevices,1
smartdevices,1
smartdevices,6
smartdevices,4
smartdevices,7
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,6
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,3
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,9
smartdevices,1
smartdevices,2
smartdevices,6
smartdevices,8
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,1
smartdevices,2
smartdevices,5
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,6
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,3
smartdevices,3
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,3
smartdevices,3
smartdevices,2
smartdevices,1
smartdevices,3
smartdevices,2
smartdevices,1
smartdevices,3
smartdevices,8
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,6
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,5
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,4
smartdevices,3
smartdevices,3
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,3
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,3
smartdevices,2
smartdevices,3
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,5
smartdevices,6
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,3
smartdevices,2
smartdevices,1
smartdevices,6
smartdevices,5
smartdevices,1
smartdevices,2
smartdevices,8
smartdevices,3
smartdevices,3
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,5
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,3
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,6
smartdevices,2
smartdevices,5
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,4
smartdevices,5
smartdevices,1
smartdevices,4
smartdevices,2
smartdevices,7
smartdevices,2
smartdevices,2
smartdevices,3
smartdevices,2
smartdevices,3
smartdevices,2
smartdevices,3
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,3
smartdevices,3
smartdevices,5
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,8
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,1
smartdevices,1
smartdevices,2
smartdevices,2
smartdevices,2
