Dataset,time
smarttech, 74108
smarttech, 14810
smarttech, 69683
smarttech, 8983
smarttech, 521826
smarttech, 1795
smarttech, 78679
smarttech, 81107
smarttech, 167451
smarttech, 7859
smarttech, 16090
smarttech, 140235
smarttech, 188
smarttech, 103
smarttech, 4822
smarttech, 140340
smarttech, 22435
smarttech, 25511
smarttech, 155176
smarttech, 109696
smarttech, 72
smarttech, 6128
smarttech, 49053
smarttech, 964
smarttech, 20
smarttech, 130447
smarttech, 47866
smarttech, 498
smarttech, 1998
smarttech, 26207
smarttech, 966691
smarttech, 80105
smarttech, 4565
smarttech, 197957
smarttech, 135
smarttech, 26118
smarttech, 10182
smarttech, 7992
smarttech, 96
smarttech, 265
smarttech, 1811
smarttech, 7832
smarttech, 843
smarttech, 896
smarttech, 23
smarttech, 2053
smarttech, 861
smarttech, 25118
smarttech, 6367
smarttech, 17838
smarttech, 28836
smarttech, 51026
smarttech, 43666
smarttech, 11025
smarttech, 90
smarttech, 25830
smarttech, 7547
smarttech, 13578
smarttech, 34557
smarttech, 115
smarttech, 10017
smarttech, 29881
smarttech, 111
smarttech, 71796
smarttech, 13500
smarttech, 32374
smarttech, 4205
smarttech, 111
smarttech, 46001
smarttech, 318
smarttech, 528
smarttech, 1309
smarttech, 34
smarttech, 172
smarttech, 10032
smarttech, 5582
smarttech, 94464
smarttech, 115521
smarttech, 190234
smarttech, 259
smarttech, 114765
smarttech, 46
smarttech, 1070
smarttech, 65119
smarttech, 33946
smarttech, 77478
smarttech, 32459
smarttech, 215307
smarttech, 20444
smarttech, 11508
smarttech, 134999
smarttech, 403928
smarttech, 2
smarttech, 7
smarttech, 2
smarttech, 5
smarttech, 4
smarttech, 2
smarttech, 6
smarttech, 3
smarttech, 5
smarttech, 6
smarttech, 1
smarttech, 2
smarttech, 8
smarttech, 2
smarttech, 1
smarttech, 1
smarttech, 3
smarttech, 2
smarttech, 1
smarttech, 2
smarttech, 8
smarttech, 1
smarttech, 1
smarttech, 2
smarttech, 4
smarttech, 0
smarttech, 2
smarttech, 1
smarttech, 0
smarttech, 7
smarttech, 1
smarttech, 2
smarttech, 0
smarttech, 2
smarttech, 3
smarttech, 8
smarttech, 5
smarttech, 2
smarttech, 1
smarttech, 6
smarttech, 4
smarttech, 1
smarttech, 2
smarttech, 5
smarttech, 2
smarttech, 1
smarttech, 2
smarttech, 1
smarttech, 0
smarttech, 1
smarttech, 2
smarttech, 1
smarttech, 3
smarttech, 0
smarttech, 2
smarttech, 2
smarttech, 1
smarttech, 1
smarttech, 3
smarttech, 4
smarttech, 4
smarttech, 4
smarttech, 2
smarttech, 2
smarttech, 0
smarttech, 2
smarttech, 1
smarttech, 1
smarttech, 0
smarttech, 4
smarttech, 2
smarttech, 3
smarttech, 1
smarttech, 2
smarttech, 2
smarttech, 2
smarttech, 8
smarttech, 5
smarttech, 110
smarttech, 503
smarttech, 455
smarttech, 364
smarttech, 255
smarttech, 575
smarttech, 66212
smarttech, 99127
smarttech, 18743
smarttech, 35186
smarttech, 5061
smarttech, 144596
smarttech, 393424
smarttech, 230515
smarttech, 254894
smarttech, 196803
smarttech, 21954
smarttech, 5218
smarttech, 189490
smarttech, 8306
smarttech, 633
smarttech, 126591
smarttech, 1887
