Dataset,time
smarttech, 312447
smarttech, 402148
smarttech, 539889
smarttech, 748930
smarttech, 2448708
smarttech, 2875260
smarttech, 3094077
smarttech, 4060389
smarttech, 4298216
smarttech, 4318469
smarttech, 4628465
smarttech, 4787335
smarttech, 388537
smarttech, 461200
smarttech, 674227
smarttech, 2606226
smarttech, 2899207
smarttech, 2921253
smarttech, 3063360
smarttech, 36300
smarttech, 645000
smarttech, 3897904
smarttech, 5832600
smarttech, 5924699
smarttech, 6086400
smarttech, 8566800
smarttech, 12473401
smarttech, 13805998
smarttech, 3806163
smarttech, 5712964
smarttech, 5788804
smarttech, 224431
smarttech, 333894
smarttech, 413154
smarttech, 540815
smarttech, 2298385
smarttech, 2410759
smarttech, 2545249
smarttech, 2756765
smarttech, 2780627
smarttech, 3009359
smarttech, 3946993
smarttech, 4111238
smarttech, 4198232
smarttech, 4505428
smarttech, 4668080
smarttech, 303027
smarttech, 413334
smarttech, 507443
smarttech, 600957
smarttech, 2875384
smarttech, 2884818
smarttech, 2933944
smarttech, 3116342
smarttech, 4070943
smarttech, 4317895
smarttech, 4331231
smarttech, 4620287
smarttech, 4793254
smarttech, 2098071
smarttech, 290040
smarttech, 453360
smarttech, 459219
smarttech, 2455187
smarttech, 2648442
smarttech, 2921310
smarttech, 244556
smarttech, 386249
smarttech, 440940
smarttech, 562666
smarttech, 732808
smarttech, 2262641
smarttech, 4062020
smarttech, 5046526
smarttech, 5077023
smarttech, 5355252
smarttech, 5969067
smarttech, 6064048
smarttech, 6213874
smarttech, 6257984
smarttech, 7506295
smarttech, 8245346
smarttech, 8543511
smarttech, 8828801
smarttech, 8911251
smarttech, 8914610
smarttech, 9028865
smarttech, 10835380
smarttech, 10882674
smarttech, 11240097
smarttech, 11251347
smarttech, 11253826
smarttech, 11290036
smarttech, 11483050
smarttech, 12672383
smarttech, 12995378
smarttech, 13152157
smarttech, 437856
smarttech, 793798
smarttech, 4322621
smarttech, 1378788
smarttech, 301684
smarttech, 417429
smarttech, 491617
smarttech, 584705
smarttech, 2882714
smarttech, 2932105
smarttech, 3115865
smarttech, 4062712
smarttech, 4298719
smarttech, 4353003
smarttech, 4620236
smarttech, 4789084
smarttech, 608980
smarttech, 5711891
smarttech, 3095332
smarttech, 5411691
smarttech, 5218
smarttech, 898874
smarttech, 2018460
smarttech, 3092400
smarttech, 10687178
smarttech, 14924378
smarttech, 205198
smarttech, 747144
smarttech, 10306802
smarttech, 6058232
smarttech, 321156
smarttech, 421102
smarttech, 466438
smarttech, 720453
smarttech, 2854104
smarttech, 307644
smarttech, 463630
smarttech, 622058
smarttech, 1278021
smarttech, 2801312
smarttech, 5300864
smarttech, 458155
smarttech, 2026847
smarttech, 7500722
smarttech, 11169340
smarttech, 4071601
smarttech, 246949
smarttech, 5563788
smarttech, 6205196
smarttech, 2006362
smarttech, 2623413
smarttech, 161995
smarttech, 10166955
smarttech, 3677451
smarttech, 7461488
smarttech, 161741
smarttech, 3636192
smarttech, 147733
smarttech, 205803
smarttech, 240360
smarttech, 185858
smarttech, 604611
smarttech, 1900649
smarttech, 58990
smartdevices, 6810525
smartdevices, 6825358
smartdevices, 425247
smartdevices, 139527
smartdevices, 230682
smartdevices, 705554
smartdevices, 1277061
smartdevices, 1451732
smartdevices, 1799915
smartdevices, 1870814
smartdevices, 1955879
smartdevices, 1999273
smartdevices, 2129522
smartdevices, 2129873
smartdevices, 3089316
smartdevices, 3255683
smartdevices, 3256277
smartdevices, 3512467
smartdevices, 3773851
smartdevices, 6536837
smartdevices, 7625496
smartdevices, 35
smartdevices, 10
smartdevices, 62094
smartdevices, 838193
smartdevices, 849013
smartdevices, 3155702
smartdevices, 2523118
smartdevices, 2498972
smartdevices, 979203
smartdevices, 1249202
smartdevices, 1918800
smartdevices, 3891601
smartdevices, 736031
smartdevices, 902783
smartdevices, 938822
smartdevices, 1757887
smartdevices, 2085569
smartdevices, 2380390
smartdevices, 3169010
smartdevices, 3254317
smartdevices, 5559850
smartdevices, 6384981
smartdevices, 6614278
smartdevices, 7096814
smartdevices, 7857728
smartdevices, 10399630
smartdevices, 13969431
smartdevices, 15604081
smartdevices, 5188666
smartdevices, 234037
smartdevices, 27186
smartdevices, 33001
smartdevices, 61961
smartdevices, 511274
smartdevices, 1000208
smartdevices, 1000456
smartdevices, 1084810
smartdevices, 2207423
smartdevices, 3394682
smartdevices, 3443633
smartdevices, 4214587
smartdevices, 4397465
smartdevices, 4449004
smartdevices, 4449495
smartdevices, 4701382
smartdevices, 4751440
smartdevices, 5694343
smartdevices, 5877385
smartdevices, 6125350
smartdevices, 7768242
smartdevices, 8233872
smartdevices, 8299263
smartdevices, 8373611
smartdevices, 8884774
smartdevices, 8911306
smartdevices, 9232874
smartdevices, 9592675
smartdevices, 12531915
smartdevices, 12750679
smartdevices, 12778804
smartdevices, 13421246
smartdevices, 13464003
smartdevices, 13473566
smartdevices, 25540
smartdevices, 91667
smartdevices, 349134
smartdevices, 349135
smartdevices, 776404
smartdevices, 1084377
smartdevices, 1084378
smartdevices, 1742880
smartdevices, 1919214
smartdevices, 1989239
smartdevices, 1989241
smartdevices, 3025936
smartdevices, 3891550
smartdevices, 4670593
smartdevices, 6109791
smartdevices, 6655316
smartdevices, 575
smartdevices, 402606
smartdevices, 6336148
smartdevices, 8312981
smartdevices, 8807368
smartdevices, 12859078
smartdevices, 407698
smartdevices, 1686595
smartdevices, 6933620
smartdevices, 28387
smartdevices, 939193
smartdevices, 12804767
smartdevices, 3796
smartdevices, 22035
smartdevices, 30870
smartdevices, 33445
smartdevices, 62757
smartdevices, 73057
smartdevices, 78049
smartdevices, 81771
smartdevices, 165217
smartdevices, 771276
smartdevices, 2242339
smartdevices, 2910121
smartdevices, 11125036
smartdevices, 7656591
smartdevices, 27229
smartdevices, 898078
smartdevices, 15777924
smartdevices, 992675
smartdevices, 1386772
smartdevices, 1650692
smartdevices, 2197207
smartdevices, 3191641
smartdevices, 42265
smartdevices, 42285
smartdevices, 92635
smartdevices, 258313
smartdevices, 863995
smartdevices, 1021513
smartdevices, 1085398
