test,time,using_time_window,nth,time_leap
devices, 3600000, 0, 1, 7149
devices, 3600000, 0, 1, 59589
devices, 3600000, 0, 1, 50922
devices, 3600000, 0, 1, 1685932
devices, 3600000, 0, 1, 1685932
devices, 3600000, 0, 2, 301208
devices, 3600000, 0, 2, 728851
devices, 3600000, 0, 2, 728851
devices, 3600000, 0, 2, 728851
devices, 3600000, 0, 3, 1133369
devices, 3600000, 0, 3, 1133369
devices, 3600000, 0, 1, 99
devices, 3600000, 0, 1, 427742
devices, 3600000, 0, 1, 427742
devices, 3600000, 0, 1, 427742
devices, 3600000, 0, 2, 1133369
devices, 3600000, 0, 2, 1133369
devices, 3600000, 0, 1, 391
devices, 3600000, 0, 1, 391
devices, 3600000, 0, 2, 1027515
devices, 3600000, 0, 2, 252491
devices, 3600000, 0, 2, 1455158
devices, 3600000, 0, 2, 1455158
devices, 3600000, 0, 2, 1455158
devices, 3600000, 0, 3, 1133369
devices, 3600000, 0, 3, 1133369
devices, 3600000, 0, 1, 1133369
devices, 3600000, 0, 1, 1133369
devices, 3600000, 0, 1, 59637
devices, 3600000, 0, 1, 93181
devices, 3600000, 0, 1, 39038
devices, 3600000, 0, 1, 16852
devices, 3600000, 0, 1, 93181
devices, 3600000, 0, 1, 39038
devices, 3600000, 0, 1, 16852
devices, 3600000, 0, 1, 3282495
devices, 3600000, 0, 1, 1384466
devices, 3600000, 0, 1, 1212110
devices, 3600000, 0, 1, 270
devices, 3600000, 0, 1, 258905
devices, 3600000, 0, 1, 345336
devices, 3600000, 0, 1, 258905
devices, 3600000, 0, 1, 2120608
devices, 3600000, 0, 1, 79913
devices, 3600000, 0, 2, 3423452
devices, 3600000, 0, 2, 3423292
devices, 3600000, 0, 2, 3167814
devices, 3600000, 0, 2, 863572
devices, 3600000, 0, 2, 517108
devices, 3600000, 0, 2, 226786
devices, 3600000, 0, 2, 57066
devices, 3600000, 0, 3, 15739
devices, 3600000, 0, 3, 15739
devices, 3600000, 0, 4, 74886
devices, 3600000, 0, 2, 73383
devices, 3600000, 0, 2, 73383
devices, 3600000, 0, 3, 74308
devices, 3600000, 0, 1, 152718
devices, 3600000, 0, 1, 152718
devices, 3600000, 0, 2, 74886
devices, 3600000, 0, 1, 3423452
devices, 3600000, 0, 1, 3423292
devices, 3600000, 0, 1, 3167814
devices, 3600000, 0, 1, 863572
devices, 3600000, 0, 1, 517108
devices, 3600000, 0, 1, 226786
devices, 3600000, 0, 1, 57066
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 73383
devices, 3600000, 0, 1, 73383
devices, 3600000, 0, 2, 74308
devices, 3600000, 0, 1, 3521579
devices, 3600000, 0, 1, 3521419
devices, 3600000, 0, 1, 3265941
devices, 3600000, 0, 1, 961699
devices, 3600000, 0, 1, 615235
devices, 3600000, 0, 1, 324913
devices, 3600000, 0, 1, 155193
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 171510
devices, 3600000, 0, 1, 171510
devices, 3600000, 0, 2, 74308
devices, 3600000, 0, 1, 3542403
devices, 3600000, 0, 1, 3542243
devices, 3600000, 0, 1, 3286765
devices, 3600000, 0, 1, 982523
devices, 3600000, 0, 1, 636059
devices, 3600000, 0, 1, 345737
devices, 3600000, 0, 1, 176017
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 192334
devices, 3600000, 0, 1, 192334
devices, 3600000, 0, 2, 74308
devices, 3600000, 0, 1, 3368191
devices, 3600000, 0, 1, 1063949
devices, 3600000, 0, 1, 717485
devices, 3600000, 0, 1, 427163
devices, 3600000, 0, 1, 257443
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 80879
devices, 3600000, 0, 2, 119498
devices, 3600000, 0, 3, 3423452
devices, 3600000, 0, 3, 3423292
devices, 3600000, 0, 3, 3167814
devices, 3600000, 0, 3, 863572
devices, 3600000, 0, 3, 517108
devices, 3600000, 0, 3, 226786
devices, 3600000, 0, 3, 57066
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 21371
devices, 3600000, 0, 3, 3521579
devices, 3600000, 0, 3, 3521419
devices, 3600000, 0, 3, 3265941
devices, 3600000, 0, 3, 961699
devices, 3600000, 0, 3, 615235
devices, 3600000, 0, 3, 324913
devices, 3600000, 0, 3, 155193
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 171510
devices, 3600000, 0, 3, 171510
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 547
devices, 3600000, 0, 3, 3542403
devices, 3600000, 0, 3, 3542243
devices, 3600000, 0, 3, 3286765
devices, 3600000, 0, 3, 982523
devices, 3600000, 0, 3, 636059
devices, 3600000, 0, 3, 345737
devices, 3600000, 0, 3, 176017
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 192334
devices, 3600000, 0, 3, 192334
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 192303
devices, 3600000, 0, 2, 192303
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 26263
devices, 3600000, 0, 2, 174114
devices, 3600000, 0, 3, 3423452
devices, 3600000, 0, 3, 3423292
devices, 3600000, 0, 3, 3167814
devices, 3600000, 0, 3, 863572
devices, 3600000, 0, 3, 517108
devices, 3600000, 0, 3, 226786
devices, 3600000, 0, 3, 57066
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 75987
devices, 3600000, 0, 3, 3521579
devices, 3600000, 0, 3, 3521419
devices, 3600000, 0, 3, 3265941
devices, 3600000, 0, 3, 961699
devices, 3600000, 0, 3, 615235
devices, 3600000, 0, 3, 324913
devices, 3600000, 0, 3, 155193
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 171510
devices, 3600000, 0, 3, 171510
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 55163
devices, 3600000, 0, 3, 3542403
devices, 3600000, 0, 3, 3542243
devices, 3600000, 0, 3, 3286765
devices, 3600000, 0, 3, 982523
devices, 3600000, 0, 3, 636059
devices, 3600000, 0, 3, 345737
devices, 3600000, 0, 3, 176017
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 192334
devices, 3600000, 0, 3, 192334
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 246919
devices, 3600000, 0, 2, 246919
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 273760
devices, 3600000, 0, 1, 273760
devices, 3600000, 0, 2, 74308
devices, 3600000, 0, 1, 3369394
devices, 3600000, 0, 1, 1065152
devices, 3600000, 0, 1, 718688
devices, 3600000, 0, 1, 428366
devices, 3600000, 0, 1, 258646
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 2, 15739
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 82082
devices, 3600000, 0, 2, 119498
devices, 3600000, 0, 3, 3423452
devices, 3600000, 0, 3, 3423292
devices, 3600000, 0, 3, 3167814
devices, 3600000, 0, 3, 863572
devices, 3600000, 0, 3, 517108
devices, 3600000, 0, 3, 226786
devices, 3600000, 0, 3, 57066
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 21371
devices, 3600000, 0, 3, 3521579
devices, 3600000, 0, 3, 3521419
devices, 3600000, 0, 3, 3265941
devices, 3600000, 0, 3, 961699
devices, 3600000, 0, 3, 615235
devices, 3600000, 0, 3, 324913
devices, 3600000, 0, 3, 155193
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 171510
devices, 3600000, 0, 3, 171510
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 547
devices, 3600000, 0, 3, 3542403
devices, 3600000, 0, 3, 3542243
devices, 3600000, 0, 3, 3286765
devices, 3600000, 0, 3, 982523
devices, 3600000, 0, 3, 636059
devices, 3600000, 0, 3, 345737
devices, 3600000, 0, 3, 176017
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 192334
devices, 3600000, 0, 3, 192334
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 192303
devices, 3600000, 0, 2, 192303
devices, 3600000, 0, 3, 74886
devices, 3600000, 0, 1, 27466
devices, 3600000, 0, 2, 174114
devices, 3600000, 0, 3, 3423452
devices, 3600000, 0, 3, 3423292
devices, 3600000, 0, 3, 3167814
devices, 3600000, 0, 3, 863572
devices, 3600000, 0, 3, 517108
devices, 3600000, 0, 3, 226786
devices, 3600000, 0, 3, 57066
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 4, 15739
devices, 3600000, 0, 5, 74886
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 3, 73383
devices, 3600000, 0, 4, 74308
devices, 3600000, 0, 2, 75987
devices, 3600000, 0, 3, 3521579
devices, 3600000, 0, 3, 3521419
devices, 3600000, 0, 3, 3265941
devices, 3600000, 0, 3, 961699
