test,time,using_time_window,length,time_window
devices, 3600000, 0, 2, 7149
devices, 3600000, 0, 2, 59589
devices, 3600000, 0, 2, 50922
devices, 3600000, 0, 2, 1685932
devices, 3600000, 0, 2, 1685932
devices, 3600000, 0, 3, 1987140
devices, 3600000, 0, 3, 2414783
devices, 3600000, 0, 3, 2414783
devices, 3600000, 0, 3, 2414783
devices, 3600000, 0, 4, 3548152
devices, 3600000, 0, 4, 3548152
devices, 3600000, 0, 2, 99
devices, 3600000, 0, 2, 427742
devices, 3600000, 0, 2, 427742
devices, 3600000, 0, 2, 427742
devices, 3600000, 0, 3, 1561111
devices, 3600000, 0, 3, 1561111
devices, 3600000, 0, 2, 391
devices, 3600000, 0, 2, 391
devices, 3600000, 0, 3, 1027906
devices, 3600000, 0, 3, 252882
devices, 3600000, 0, 3, 1455549
devices, 3600000, 0, 3, 1455549
devices, 3600000, 0, 3, 1455549
devices, 3600000, 0, 4, 2588918
devices, 3600000, 0, 4, 2588918
devices, 3600000, 0, 2, 1133369
devices, 3600000, 0, 2, 1133369
devices, 3600000, 0, 2, 59637
devices, 3600000, 0, 2, 93181
devices, 3600000, 0, 2, 39038
devices, 3600000, 0, 2, 16852
devices, 3600000, 0, 2, 93181
devices, 3600000, 0, 2, 39038
devices, 3600000, 0, 2, 16852
devices, 3600000, 0, 2, 3282495
devices, 3600000, 0, 2, 1384466
devices, 3600000, 0, 2, 1212110
devices, 3600000, 0, 2, 270
devices, 3600000, 0, 2, 258905
devices, 3600000, 0, 2, 345336
devices, 3600000, 0, 2, 258905
devices, 3600000, 0, 2, 2120608
devices, 3600000, 0, 2, 79913
devices, 3600000, 0, 3, 3503365
devices, 3600000, 0, 3, 3503205
devices, 3600000, 0, 3, 3247727
devices, 3600000, 0, 3, 943485
devices, 3600000, 0, 3, 597021
devices, 3600000, 0, 3, 306699
devices, 3600000, 0, 3, 136979
devices, 3600000, 0, 4, 152718
devices, 3600000, 0, 4, 152718
devices, 3600000, 0, 5, 227604
devices, 3600000, 0, 3, 153296
devices, 3600000, 0, 3, 153296
devices, 3600000, 0, 4, 227604
devices, 3600000, 0, 2, 152718
devices, 3600000, 0, 2, 152718
devices, 3600000, 0, 3, 227604
devices, 3600000, 0, 2, 3423452
devices, 3600000, 0, 2, 3423292
devices, 3600000, 0, 2, 3167814
devices, 3600000, 0, 2, 863572
devices, 3600000, 0, 2, 517108
devices, 3600000, 0, 2, 226786
devices, 3600000, 0, 2, 57066
devices, 3600000, 0, 3, 72805
devices, 3600000, 0, 3, 72805
devices, 3600000, 0, 4, 147691
devices, 3600000, 0, 2, 73383
devices, 3600000, 0, 2, 73383
devices, 3600000, 0, 3, 147691
devices, 3600000, 0, 2, 3521579
devices, 3600000, 0, 2, 3521419
devices, 3600000, 0, 2, 3265941
devices, 3600000, 0, 2, 961699
devices, 3600000, 0, 2, 615235
devices, 3600000, 0, 2, 324913
devices, 3600000, 0, 2, 155193
devices, 3600000, 0, 3, 170932
